Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2019-01-06,6,4,2,19,0,0,4,0,3,6,6,0,5,0,0,5
2019-01-13,5,3,5,0,0,4,4,12,7,6,3,0,5,0,0,0
2019-01-20,5,5,3,9,0,0,1,0,1,7,6,0,2,0,14,0
2019-01-27,5,4,7,0,8,4,3,0,3,3,6,0,7,0,15,0
2019-02-03,3,4,5,0,0,0,3,0,10,2,3,0,5,0,0,5
2019-02-10,3,3,2,6,0,4,5,0,6,8,6,0,5,0,0,0
2019-02-17,4,2,2,0,0,0,6,0,1,5,0,0,3,0,5,5
2019-02-24,3,2,3,6,0,4,1,0,2,3,3,17,0,0,0,5
2019-03-03,1,3,3,0,0,0,5,0,1,2,6,16,2,0,0,0
2019-03-10,4,2,5,0,8,4,6,12,3,4,0,0,2,0,0,0
2019-03-17,3,4,7,7,0,4,1,0,6,6,0,0,2,0,0,0
2019-03-24,4,2,5,7,0,0,0,0,1,1,0,0,0,0,5,0
2019-03-31,0,6,4,0,0,4,1,0,4,2,0,0,0,0,10,5
2019-04-07,1,1,1,7,0,0,4,0,2,4,3,0,2,13,0,0
2019-04-14,6,1,4,0,0,4,0,0,12,3,0,0,3,0,0,0
2019-04-21,1,2,0,0,0,12,4,13,5,2,3,0,0,0,5,0
2019-04-28,3,1,3,0,0,0,4,12,6,5,0,0,0,13,5,0
2019-05-05,5,1,2,0,8,0,4,0,10,2,9,0,0,0,0,0
2019-05-12,1,1,0,6,0,0,5,0,4,2,7,16,7,0,0,0
2019-05-19,5,2,4,6,0,0,3,12,6,3,3,0,7,25,14,0
2019-05-26,4,1,6,6,8,4,7,0,6,4,3,0,5,0,0,0
2019-06-02,1,3,6,6,0,0,4,0,9,1,0,0,0,0,0,0
2019-06-09,5,3,2,13,0,0,4,0,3,4,0,0,0,13,5,0
2019-06-16,3,2,2,6,0,0,5,0,3,2,3,0,2,13,0,5
2019-06-23,3,4,4,13,0,0,3,12,1,5,3,0,0,0,5,0
2019-06-30,3,2,2,7,0,4,4,0,6,2,0,16,5,25,5,0
2019-07-07,1,2,4,0,0,9,4,0,1,2,3,0,0,13,5,0
2019-07-14,6,2,7,0,0,0,7,0,2,2,3,17,0,14,9,0
2019-07-21,4,3,2,0,0,5,6,0,6,3,4,0,0,0,0,0
2019-07-28,1,1,4,13,0,0,0,0,3,2,3,0,3,0,0,0
2019-08-04,4,2,2,0,0,0,3,11,3,3,0,0,0,0,0,0
2019-08-11,4,1,11,6,0,12,8,0,4,4,9,0,2,12,4,0
2019-08-18,4,3,4,0,0,13,6,12,1,4,3,48,2,13,5,5
2019-08-25,3,1,5,6,0,0,3,11,4,4,0,16,0,12,5,5
2019-09-01,5,3,5,6,0,4,1,0,1,5,3,0,0,0,0,5
