Kategorie,Baden,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachen,Nordrhein,Rheinland,Saarland,SachsenA,Sachsen,Schleswig,Thüringen
2020-01-05,1,2,4,5,0,0,1,5,3,1,0,0,0,0,0,3
2020-01-12,1,2,1,0,0,3,2,0,2,1,0,7,0,0,0,3
2020-01-19,1,2,3,0,0,0,2,0,2,1,1,0,3,0,0,3
2020-01-26,1,2,2,4,0,11,1,0,3,2,0,15,3,0,0,3
2020-02-02,1,2,1,5,5,0,1,0,1,2,1,0,0,0,0,0
2020-02-09,1,1,0,0,0,0,3,0,1,1,1,0,0,1,0,0
2020-02-16,1,2,0,2,5,0,2,6,1,2,3,0,0,0,2,0
2020-02-23,1,2,2,2,0,2,2,0,1,3,1,0,3,2,2,3
2020-03-01,5,8,13,8,5,10,9,11,8,5,5,0,0,2,2,6
2020-03-08,28,36,39,27,13,19,21,16,22,17,24,37,26,9,24,23
2020-03-15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2020-03-22,41,47,56,58,42,56,76,59,60,74,69,58,27,44,40,75
2020-03-29,23,25,43,33,13,13,38,34,27,38,31,36,33,32,34,34
2020-04-05,13,13,22,11,19,7,27,16,22,16,13,21,16,19,15,14
2020-04-12,8,7,12,7,4,9,11,10,5,10,5,14,6,11,6,10
2020-04-19,9,5,3,3,4,7,8,0,5,7,11,0,3,4,4,6
2020-04-26,7,5,6,3,4,9,4,5,3,4,4,0,3,4,6,6
2020-05-03,5,4,6,8,0,4,2,10,4,3,2,7,9,10,2,7
2020-05-10,4,4,2,2,0,0,1,5,2,1,3,13,0,1,4,3
2020-05-17,2,4,6,7,4,0,3,0,3,2,3,7,0,3,6,0
2020-05-24,4,3,3,4,4,5,5,5,4,3,2,14,6,2,4,3
2020-05-31,2,3,3,2,0,0,2,9,1,3,3,0,3,2,2,3
2020-06-07,2,3,1,2,0,0,2,0,4,1,3,7,3,3,0,4
2020-06-14,2,1,0,4,4,7,1,0,4,2,1,0,0,0,0,4
2020-06-21,1,3,3,0,0,5,3,5,1,1,1,7,3,0,2,3
2020-06-28,1,2,0,2,0,0,1,5,2,2,2,7,6,2,11,3
2020-07-05,1,2,1,2,4,0,3,5,3,3,0,0,0,3,2,0
2020-07-12,1,2,4,3,0,0,2,5,1,1,1,0,0,1,0,3
2020-07-19,1,1,4,0,0,0,1,0,1,1,0,0,0,0,0,4
2020-07-26,2,1,1,4,0,0,3,5,4,2,1,8,0,1,0,4
2020-08-02,2,1,4,3,0,3,1,0,1,2,4,0,0,2,2,3
2020-08-09,2,2,1,6,0,0,2,0,2,1,0,0,0,1,0,3
2020-08-16,1,2,3,2,0,5,2,5,1,1,1,0,0,2,0,3
2020-08-23,2,3,2,2,4,0,2,0,1,2,2,0,0,2,0,7
2020-08-30,1,2,2,2,0,0,1,0,2,1,0,0,0,1,4,0
2020-09-06,1,2,2,3,0,0,2,0,2,1,0,0,0,0,0,3
2020-09-13,2,1,0,3,0,0,0,0,2,1,0,0,0,1,0,3
2020-09-20,1,2,4,0,0,0,2,0,1,1,1,8,0,4,6,3
2020-09-27,1,2,4,0,0,3,2,0,1,1,1,8,0,1,4,3
2020-10-04,1,1,3,3,0,3,2,0,3,1,3,0,10,2,0,3
2020-10-11,4,4,4,4,0,8,11,5,7,9,5,0,3,4,9,7
2020-10-18,11,13,13,17,20,20,19,20,11,19,13,20,24,24,26,15
2020-10-25,6,9,12,10,0,10,11,20,10,8,6,12,6,13,11,16
2020-11-01,3,3,5,2,0,0,6,10,3,4,3,21,6,3,4,7
2020-11-08,2,5,2,3,0,0,2,0,4,4,3,0,0,1,6,3
2020-11-15,1,3,3,2,0,7,3,0,2,2,4,0,0,2,2,6
2020-11-22,2,3,4,0,0,0,4,0,1,1,0,0,6,1,4,3
2020-11-29,2,3,3,2,0,0,4,5,2,3,6,7,0,0,4,3
