Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2019-01-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-01-13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2019-01-20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
2019-01-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-02-03,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,
2019-02-10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2019-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-02-24,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
2019-03-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-03-17,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2019-03-24,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
2019-03-31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
2019-04-07,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
2019-04-14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019-04-21,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,
2019-04-28,2,16,2,0,10,0,3,0,3,5,3,0,2,0,0,0,
2019-05-05,12,51,4,9,10,15,11,0,9,5,4,0,0,12,10,8,
2019-05-12,11,57,2,4,9,8,24,0,27,10,4,0,4,0,0,8,
2019-05-19,5,26,0,0,0,8,20,0,6,5,15,0,7,0,5,0,
2019-05-26,0,6,0,0,0,17,3,0,9,4,0,0,0,12,0,0,
2019-06-02,0,14,1,0,0,0,8,0,3,1,0,0,2,0,5,0,
2019-06-09,3,7,0,4,0,0,0,0,6,5,4,23,2,0,0,0,
2019-06-16,1,7,0,0,0,8,0,0,3,4,4,0,2,0,0,0,
2019-06-23,5,8,0,0,0,0,3,0,3,3,0,0,2,13,0,0,
2019-06-30,6,6,5,0,0,0,8,0,0,0,4,0,0,0,0,0,
2019-07-07,4,9,2,0,0,0,11,13,6,6,0,0,2,0,0,0,
2019-07-14,6,13,2,5,0,0,6,0,0,5,0,26,0,0,0,9,
2019-07-21,9,22,4,5,0,10,6,13,3,5,9,0,5,0,5,10,
2019-07-28,20,48,29,21,12,10,29,12,28,27,4,26,14,0,15,10,
2019-08-04,40,74,33,30,22,86,38,13,50,36,17,26,24,29,57,29,
2019-08-11,23,56,18,30,31,56,39,77,72,34,32,24,16,56,20,28,
2019-08-18,17,33,14,10,0,9,23,12,24,17,0,0,12,42,15,38,
2019-08-25,100,100,100,100,17,76,100,100,84,100,100,77,69,82,79,95,
2019-09-01,68,90,64,45,22,100,75,66,100,74,60,100,35,68,100,93,
2019-09-08,65,46,10,21,23,36,43,26,66,38,37,26,16,14,39,10,
2019-09-15,30,26,3,16,0,28,26,27,23,13,16,0,11,14,17,28,
2019-09-22,19,28,12,15,0,18,28,13,20,33,8,0,9,0,6,9,
2019-09-29,19,47,11,0,0,0,20,14,20,20,12,0,12,28,6,0,
2019-10-06,20,40,7,21,0,10,11,0,30,22,12,0,13,27,6,18,
2019-10-13,18,30,9,5,0,10,21,40,11,11,4,27,9,27,12,9,
2019-10-20,9,24,13,11,0,45,23,40,21,16,8,0,17,0,6,19,
2019-10-27,28,39,15,30,11,9,31,13,33,19,20,77,28,13,17,9,
2019-11-03,43,25,17,9,10,32,28,0,52,74,45,23,100,100,26,100,
2019-11-10,48,54,35,20,55,60,99,14,70,91,40,50,86,81,34,71,
2019-11-17,50,44,18,15,44,25,44,28,82,48,36,0,72,40,35,35,
2019-11-24,33,27,13,10,0,17,55,14,55,37,12,0,30,13,23,26,
2019-12-01,15,27,6,15,100,26,22,14,60,20,28,0,14,40,17,17,
2019-12-08,23,38,20,15,22,34,39,28,33,31,8,25,70,39,23,26,
2019-12-15,29,43,22,14,11,9,42,71,36,28,36,49,56,13,22,51,
2019-12-22,23,31,22,16,13,0,30,32,30,22,26,0,21,0,19,0,
2019-12-29,8,16,11,5,0,0,25,29,7,20,12,0,12,27,17,9,
2020-01-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-01-12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2020-01-19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
2020-01-26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-02,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,
2020-02-09,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-02-23,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
2020-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-03-15,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
2020-03-22,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
2020-04-05,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
2020-04-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-04-19,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,
2020-04-26,2,16,2,0,10,0,3,0,3,5,3,0,2,0,0,0,
2020-05-03,12,51,4,9,10,15,11,0,9,5,4,0,0,12,10,8,
2020-05-10,11,57,2,4,9,8,24,0,27,10,4,0,4,0,0,8,
2020-05-17,5,26,0,0,0,8,20,0,6,5,15,0,7,0,5,0,
2020-05-24,0,6,0,0,0,17,3,0,9,4,0,0,0,12,0,0,
2020-05-31,0,14,1,0,0,0,8,0,3,1,0,0,2,0,5,0,
2020-06-07,3,7,0,4,0,0,0,0,6,5,4,23,2,0,0,0,
2020-06-14,1,7,0,0,0,8,0,0,3,4,4,0,2,0,0,0,
2020-06-21,5,8,0,0,0,0,3,0,3,3,0,0,2,13,0,0,
2020-06-28,6,6,5,0,0,0,8,0,0,0,4,0,0,0,0,0,
2020-07-05,4,9,2,0,0,0,11,13,6,6,0,0,2,0,0,0,
2020-07-12,6,13,2,5,0,0,6,0,0,5,0,26,0,0,0,9,
2020-07-19,9,22,4,5,0,10,6,13,3,5,9,0,5,0,5,10,
2020-07-26,20,48,29,21,12,10,29,12,28,27,4,26,14,0,15,10,
2020-08-02,40,74,33,30,22,86,38,13,50,36,17,26,24,29,57,29,
2020-08-09,23,56,18,30,31,56,39,77,72,34,32,24,16,56,20,28,
2020-08-16,17,33,14,10,0,9,23,12,24,17,0,0,12,42,15,38,
2020-08-23,100,100,100,100,17,76,100,100,84,100,100,77,69,82,79,95,
2020-08-30,68,90,64,45,22,100,75,66,100,74,60,100,35,68,100,93,
2020-09-06,65,46,10,21,23,36,43,26,66,38,37,26,16,14,39,10,
2020-09-13,30,26,3,16,0,28,26,27,23,13,16,0,11,14,17,28,
2020-09-20,19,28,12,15,0,18,28,13,20,33,8,0,9,0,6,9,
2020-09-27,19,47,11,0,0,0,20,14,20,20,12,0,12,28,6,0,
2020-10-04,20,40,7,21,0,10,11,0,30,22,12,0,13,27,6,18,
2020-10-11,18,30,9,5,0,10,21,40,11,11,4,27,9,27,12,9,
2020-10-18,9,24,13,11,0,45,23,40,21,16,8,0,17,0,6,19,
2020-10-25,28,39,15,30,11,9,31,13,33,19,20,77,28,13,17,9,
2020-11-01,43,25,17,9,10,32,28,0,52,74,45,23,100,100,26,100,
2020-11-08,48,54,35,20,55,60,99,14,70,91,40,50,86,81,34,71,
2020-11-15,50,44,18,15,44,25,44,28,82,48,36,0,72,40,35,35,
2020-11-22,33,27,13,10,0,17,55,14,55,37,12,0,30,13,23,26,
2020-11-29,15,27,6,15,100,26,22,14,60,20,28,0,14,40,17,17,
2020-12-06,23,38,20,15,22,34,39,28,33,31,8,25,70,39,23,26,
2020-12-13,29,43,22,14,11,9,42,71,36,28,36,49,56,13,22,51,
2020-12-20,23,31,22,16,13,0,30,32,30,22,26,0,21,0,19,0,
2020-12-27,8,16,11,5,0,0,25,29,7,20,12,0,12,27,17,9,
