Category: All categories

Week,alkohol: (Germany)
2019-01-06,58
2019-01-13,61
2019-01-20,56
2019-01-27,64
2019-02-03,64
2019-02-10,63
2019-02-17,63
2019-02-24,65
2019-03-03,76
2019-03-10,62
2019-03-17,63
2019-03-24,61
2019-03-31,60
2019-04-07,60
2019-04-14,64
2019-04-21,65
2019-04-28,65
2019-05-05,60
2019-05-12,66
2019-05-19,66
2019-05-26,72
2019-06-02,63
2019-06-09,69
2019-06-16,71
2019-06-23,69
2019-06-30,72
2019-07-07,67
2019-07-14,73
2019-07-21,70
2019-07-28,65
2019-08-04,74
2019-08-11,66
2019-08-18,60
2019-08-25,68
2019-09-01,52
2019-09-08,58
2019-09-15,64
2019-09-22,65
2019-09-29,62
2019-10-06,64
2019-10-13,65
2019-10-20,64
2019-10-27,69
2019-11-03,59
2019-11-10,63
2019-11-17,73
2019-11-24,63
2019-12-01,68
2019-12-08,69
2019-12-15,72
2019-12-22,99
2019-12-29,100
