date,value
2019-01-06,45
2019-01-13,20
2019-01-20,54
2019-01-27,55
2019-02-03,80
2019-02-10,61
2019-02-17,41
2019-02-24,21
2019-03-03,36
2019-03-10,100
2019-03-17,89
2019-03-24,74
2019-03-31,10
2019-04-07,31
2019-04-14,28
2019-04-21,27
2019-04-28,15
2019-05-05,50
2019-05-12,16
2019-05-19,56
2019-05-26,37
2019-06-02,67
2019-06-09,42
2019-06-16,10
2019-06-23,42
2019-06-30,52
2019-07-07,51
2019-07-14,64
2019-07-21,45
2019-07-28,16
2019-08-04,49
2019-08-11,42
2019-08-18,53
2019-08-25,36
2019-09-01,51
2019-09-08,36
2019-09-15,15
2019-09-22,35
2019-09-29,51
2019-10-06,40
2019-10-13,59
2019-10-20,24
2019-10-27,53
2019-11-03,71
2019-11-10,53
2019-11-17,29
2019-11-24,14
2019-12-01,77
2019-12-08,14
2019-12-15,59
2019-12-22,33
2019-12-29,52
