date,value
2019-01-06,54
2019-01-13,48
2019-01-20,52
2019-01-27,49
2019-02-03,54
2019-02-10,63
2019-02-17,62
2019-02-24,68
2019-03-03,80
2019-03-10,66
2019-03-17,81
2019-03-24,83
2019-03-31,85
2019-04-07,84
2019-04-14,97
2019-04-21,94
2019-04-28,85
2019-05-05,76
2019-05-12,79
2019-05-19,77
2019-05-26,96
2019-06-02,88
2019-06-09,82
2019-06-16,87
2019-06-23,100
2019-06-30,81
2019-07-07,74
2019-07-14,78
2019-07-21,87
2019-07-28,77
2019-08-04,79
2019-08-11,73
2019-08-18,74
2019-08-25,70
2019-09-01,67
2019-09-08,65
2019-09-15,67
2019-09-22,68
2019-09-29,83
2019-10-06,71
2019-10-13,63
2019-10-20,64
2019-10-27,68
2019-11-03,62
2019-11-10,62
2019-11-17,64
2019-11-24,68
2019-12-01,62
2019-12-08,64
2019-12-15,69
2019-12-22,78
2019-12-29,73
