date,value
2019-01-06,83
2019-01-13,78
2019-01-20,89
2019-01-27,86
2019-02-03,98
2019-02-10,85
2019-02-17,78
2019-02-24,81
2019-03-03,79
2019-03-10,59
2019-03-17,74
2019-03-24,99
2019-03-31,68
2019-04-07,75
2019-04-14,78
2019-04-21,95
2019-04-28,87
2019-05-05,85
2019-05-12,78
2019-05-19,81
2019-05-26,73
2019-06-02,90
2019-06-09,82
2019-06-16,84
2019-06-23,83
2019-06-30,76
2019-07-07,64
2019-07-14,100
2019-07-21,77
2019-07-28,89
2019-08-04,77
2019-08-11,98
2019-08-18,91
2019-08-25,73
2019-09-01,83
2019-09-08,84
2019-09-15,64
2019-09-22,57
2019-09-29,66
2019-10-06,83
2019-10-13,85
2019-10-20,70
2019-10-27,98
2019-11-03,61
2019-11-10,61
2019-11-17,70
2019-11-24,71
2019-12-01,77
2019-12-08,80
2019-12-15,72
2019-12-22,75
2019-12-29,86
