date,value
2019-01-06,77
2019-01-13,85
2019-01-20,77
2019-01-27,98
2019-02-03,99
2019-02-10,93
2019-02-17,79
2019-02-24,61
2019-03-03,69
2019-03-10,65
2019-03-17,62
2019-03-24,80
2019-03-31,74
2019-04-07,73
2019-04-14,63
2019-04-21,66
2019-04-28,59
2019-05-05,85
2019-05-12,72
2019-05-19,85
2019-05-26,64
2019-06-02,76
2019-06-09,80
2019-06-16,65
2019-06-23,64
2019-06-30,88
2019-07-07,66
2019-07-14,74
2019-07-21,93
2019-07-28,79
2019-08-04,84
2019-08-11,82
2019-08-18,77
2019-08-25,84
2019-09-01,76
2019-09-08,90
2019-09-15,78
2019-09-22,68
2019-09-29,64
2019-10-06,69
2019-10-13,86
2019-10-20,83
2019-10-27,70
2019-11-03,86
2019-11-10,100
2019-11-17,88
2019-11-24,79
2019-12-01,87
2019-12-08,72
2019-12-15,64
2019-12-22,56
2019-12-29,61
