date,value
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,76
2019-02-10,26
2019-02-17,26
2019-02-24,0
2019-03-03,77
2019-03-10,0
2019-03-17,26
2019-03-24,27
2019-03-31,53
2019-04-07,26
2019-04-14,0
2019-04-21,0
2019-04-28,52
2019-05-05,0
2019-05-12,26
2019-05-19,0
2019-05-26,0
2019-06-02,78
2019-06-09,53
2019-06-16,0
2019-06-23,53
2019-06-30,26
2019-07-07,0
2019-07-14,81
2019-07-21,56
2019-07-28,28
2019-08-04,27
2019-08-11,0
2019-08-18,27
2019-08-25,0
2019-09-01,26
2019-09-08,0
2019-09-15,0
2019-09-22,25
2019-09-29,26
2019-10-06,25
2019-10-13,25
2019-10-20,24
2019-10-27,0
2019-11-03,0
2019-11-10,24
2019-11-17,24
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,100
2019-12-22,28
2019-12-29,0
