date,value
2019-01-06,100
2019-01-13,27
2019-01-20,23
2019-01-27,27
2019-02-03,19
2019-02-10,16
2019-02-17,15
2019-02-24,12
2019-03-03,15
2019-03-10,28
2019-03-17,17
2019-03-24,13
2019-03-31,17
2019-04-07,15
2019-04-14,12
2019-04-21,17
2019-04-28,14
2019-05-05,8
2019-05-12,14
2019-05-19,10
2019-05-26,9
2019-06-02,16
2019-06-09,20
2019-06-16,18
2019-06-23,17
2019-06-30,7
2019-07-07,16
2019-07-14,14
2019-07-21,19
2019-07-28,15
2019-08-04,21
2019-08-11,11
2019-08-18,12
2019-08-25,21
2019-09-01,13
2019-09-08,8
2019-09-15,12
2019-09-22,14
2019-09-29,17
2019-10-06,16
2019-10-13,16
2019-10-20,14
2019-10-27,23
2019-11-03,16
2019-11-10,15
2019-11-17,21
2019-11-24,15
2019-12-01,15
2019-12-08,14
2019-12-15,19
2019-12-22,19
2019-12-29,15
