Category: All categories

Week,maske: (Germany)
2019-01-06,64
2019-01-13,58
2019-01-20,70
2019-01-27,66
2019-02-03,81
2019-02-10,73
2019-02-17,85
2019-02-24,94
2019-03-03,69
2019-03-10,60
2019-03-17,71
2019-03-24,67
2019-03-31,58
2019-04-07,55
2019-04-14,55
2019-04-21,55
2019-04-28,65
2019-05-05,60
2019-05-12,52
2019-05-19,56
2019-05-26,54
2019-06-02,48
2019-06-09,51
2019-06-16,54
2019-06-23,58
2019-06-30,59
2019-07-07,57
2019-07-14,53
2019-07-21,56
2019-07-28,66
2019-08-04,57
2019-08-11,59
2019-08-18,55
2019-08-25,55
2019-09-01,55
2019-09-08,52
2019-09-15,60
2019-09-22,70
2019-09-29,72
2019-10-06,70
2019-10-13,69
2019-10-20,90
2019-10-27,100
2019-11-03,59
2019-11-10,56
2019-11-17,58
2019-11-24,63
2019-12-01,66
2019-12-08,53
2019-12-15,53
2019-12-22,66
2019-12-29,60
