Category: All categories

Week,netflix: (Germany)
2019-01-06,67
2019-01-13,66
2019-01-20,62
2019-01-27,63
2019-02-03,61
2019-02-10,59
2019-02-17,54
2019-02-24,55
2019-03-03,57
2019-03-10,52
2019-03-17,52
2019-03-24,51
2019-03-31,49
2019-04-07,56
2019-04-14,60
2019-04-21,56
2019-04-28,55
2019-05-05,51
2019-05-12,48
2019-05-19,46
2019-05-26,53
2019-06-02,45
2019-06-09,53
2019-06-16,50
2019-06-23,43
2019-06-30,50
2019-07-07,55
2019-07-14,58
2019-07-21,52
2019-07-28,52
2019-08-04,50
2019-08-11,50
2019-08-18,48
2019-08-25,46
2019-09-01,51
2019-09-08,51
2019-09-15,50
2019-09-22,55
2019-09-29,64
2019-10-06,58
2019-10-13,55
2019-10-20,56
2019-10-27,65
2019-11-03,57
2019-11-10,63
2019-11-17,58
2019-11-24,55
2019-12-01,54
2019-12-08,56
2019-12-15,64
2019-12-22,100
2019-12-29,89
