Category: All categories

Week,oktoberfest: (Germany)
2019-01-06,2
2019-01-13,3
2019-01-20,2
2019-01-27,2
2019-02-03,2
2019-02-10,2
2019-02-17,2
2019-02-24,3
2019-03-03,3
2019-03-10,2
2019-03-17,3
2019-03-24,3
2019-03-31,3
2019-04-07,3
2019-04-14,3
2019-04-21,3
2019-04-28,4
2019-05-05,4
2019-05-12,4
2019-05-19,3
2019-05-26,3
2019-06-02,3
2019-06-09,4
2019-06-16,4
2019-06-23,5
2019-06-30,5
2019-07-07,6
2019-07-14,6
2019-07-21,8
2019-07-28,9
2019-08-04,11
2019-08-11,15
2019-08-18,18
2019-08-25,21
2019-09-01,32
2019-09-08,45
2019-09-15,82
2019-09-22,100
2019-09-29,98
2019-10-06,43
2019-10-13,22
2019-10-20,13
2019-10-27,8
2019-11-03,3
2019-11-10,3
2019-11-17,2
2019-11-24,2
2019-12-01,2
2019-12-08,2
2019-12-15,2
2019-12-22,2
2019-12-29,2
