date,value
2019-01-06,34
2019-01-13,17
2019-01-20,100
2019-01-27,34
2019-02-03,17
2019-02-10,70
2019-02-17,35
2019-02-24,18
2019-03-03,35
2019-03-10,34
2019-03-17,18
2019-03-24,36
2019-03-31,71
2019-04-07,69
2019-04-14,0
2019-04-21,19
2019-04-28,35
2019-05-05,51
2019-05-12,18
2019-05-19,17
2019-05-26,18
2019-06-02,0
2019-06-09,54
2019-06-16,53
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,54
2019-07-21,0
2019-07-28,19
2019-08-04,37
2019-08-11,18
2019-08-18,54
2019-08-25,35
2019-09-01,52
2019-09-08,71
2019-09-15,0
2019-09-22,17
2019-09-29,52
2019-10-06,17
2019-10-13,34
2019-10-20,33
2019-10-27,16
2019-11-03,32
2019-11-10,16
2019-11-17,32
2019-11-24,16
2019-12-01,33
2019-12-08,32
2019-12-15,0
2019-12-22,0
2019-12-29,0
