Category: All categories

Week,zoom: (Germany)
2019-01-06,66
2019-01-13,62
2019-01-20,60
2019-01-27,56
2019-02-03,68
2019-02-10,73
2019-02-17,73
2019-02-24,61
2019-03-03,67
2019-03-10,58
2019-03-17,72
2019-03-24,83
2019-03-31,65
2019-04-07,72
2019-04-14,80
2019-04-21,83
2019-04-28,70
2019-05-05,50
2019-05-12,63
2019-05-19,61
2019-05-26,67
2019-06-02,61
2019-06-09,71
2019-06-16,75
2019-06-23,70
2019-06-30,70
2019-07-07,73
2019-07-14,82
2019-07-21,66
2019-07-28,81
2019-08-04,78
2019-08-11,75
2019-08-18,87
2019-08-25,90
2019-09-01,91
2019-09-08,100
2019-09-15,92
2019-09-22,81
2019-09-29,89
2019-10-06,89
2019-10-13,96
2019-10-20,91
2019-10-27,97
2019-11-03,84
2019-11-10,99
2019-11-17,72
2019-11-24,80
2019-12-01,78
2019-12-08,71
2019-12-15,67
2019-12-22,76
2019-12-29,73
