Category: All categories

Week,BER: (Germany)
2020-01-05,11
2020-01-12,10
2020-01-19,11
2020-01-26,20
2020-02-02,10
2020-02-09,10
2020-02-16,11
2020-02-23,11
2020-03-01,10
2020-03-08,10
2020-03-15,10
2020-03-22,9
2020-03-29,8
2020-04-05,8
2020-04-12,8
2020-04-19,21
2020-04-26,21
2020-05-03,11
2020-05-10,12
2020-05-17,16
2020-05-24,9
2020-05-31,9
2020-06-07,9
2020-06-14,8
2020-06-21,9
2020-06-28,9
2020-07-05,10
2020-07-12,10
2020-07-19,11
2020-07-26,13
2020-08-02,8
2020-08-09,12
2020-08-16,14
2020-08-23,13
2020-08-30,15
2020-09-06,15
2020-09-13,13
2020-09-20,14
2020-09-27,20
2020-10-04,27
2020-10-11,21
2020-10-18,27
2020-10-25,100
2020-11-01,57
2020-11-08,40
2020-11-15,21
2020-11-22,19
2020-11-29,16
2020-12-06,16
2020-12-13,21
2020-12-20,21
2020-12-27,19
