date,value
2020-01-05,66
2020-01-12,69
2020-01-19,63
2020-01-26,64
2020-02-02,62
2020-02-09,62
2020-02-16,71
2020-02-23,78
2020-03-01,64
2020-03-08,71
2020-03-15,75
2020-03-22,59
2020-03-29,50
2020-04-05,55
2020-04-12,56
2020-04-19,54
2020-04-26,58
2020-05-03,55
2020-05-10,55
2020-05-17,70
2020-05-24,58
2020-05-31,63
2020-06-07,65
2020-06-14,65
2020-06-21,71
2020-06-28,69
2020-07-05,67
2020-07-12,66
2020-07-19,75
2020-07-26,69
2020-08-02,67
2020-08-09,70
2020-08-16,62
2020-08-23,65
2020-08-30,57
2020-09-06,66
2020-09-13,65
2020-09-20,63
2020-09-27,57
2020-10-04,60
2020-10-11,57
2020-10-18,57
2020-10-25,57
2020-11-01,50
2020-11-08,56
2020-11-15,60
2020-11-22,59
2020-11-29,57
2020-12-06,62
2020-12-13,65
2020-12-20,93
2020-12-27,100
