Category: All categories

Week,bananenbrot: (Germany)
2020-01-05,17
2020-01-12,18
2020-01-19,21
2020-01-26,22
2020-02-02,25
2020-02-09,22
2020-02-16,22
2020-02-23,23
2020-03-01,27
2020-03-08,29
2020-03-15,51
2020-03-22,93
2020-03-29,100
2020-04-05,67
2020-04-12,67
2020-04-19,53
2020-04-26,50
2020-05-03,42
2020-05-10,40
2020-05-17,31
2020-05-24,32
2020-05-31,24
2020-06-07,23
2020-06-14,27
2020-06-21,22
2020-06-28,27
2020-07-05,26
2020-07-12,25
2020-07-19,19
2020-07-26,24
2020-08-02,18
2020-08-09,17
2020-08-16,21
2020-08-23,20
2020-08-30,17
2020-09-06,23
2020-09-13,23
2020-09-20,25
2020-09-27,25
2020-10-04,21
2020-10-11,26
2020-10-18,23
2020-10-25,33
2020-11-01,34
2020-11-08,31
2020-11-15,29
2020-11-22,31
2020-11-29,25
2020-12-06,19
2020-12-13,21
2020-12-20,23
2020-12-27,32
