Category: All categories

Week,baumarkt: (Germany)
2020-01-05,30
2020-01-12,32
2020-01-19,32
2020-01-26,32
2020-02-02,33
2020-02-09,32
2020-02-16,38
2020-02-23,37
2020-03-01,38
2020-03-08,37
2020-03-15,81
2020-03-22,91
2020-03-29,81
2020-04-05,100
2020-04-12,87
2020-04-19,86
2020-04-26,74
2020-05-03,70
2020-05-10,63
2020-05-17,73
2020-05-24,65
2020-05-31,62
2020-06-07,59
2020-06-14,50
2020-06-21,62
2020-06-28,52
2020-07-05,49
2020-07-12,53
2020-07-19,48
2020-07-26,51
2020-08-02,54
2020-08-09,49
2020-08-16,42
2020-08-23,40
2020-08-30,42
2020-09-06,41
2020-09-13,38
2020-09-20,41
2020-09-27,36
2020-10-04,40
2020-10-11,39
2020-10-18,39
2020-10-25,38
2020-11-01,36
2020-11-08,41
2020-11-15,41
2020-11-22,43
2020-11-29,41
2020-12-06,43
2020-12-13,72
2020-12-20,30
2020-12-27,39
