Category: All categories

Week,bill gates: (Germany)
2020-01-05,5
2020-01-12,6
2020-01-19,7
2020-01-26,13
2020-02-02,9
2020-02-09,11
2020-02-16,8
2020-02-23,10
2020-03-01,6
2020-03-08,9
2020-03-15,21
2020-03-22,22
2020-03-29,26
2020-04-05,29
2020-04-12,82
2020-04-19,49
2020-04-26,46
2020-05-03,100
2020-05-10,69
2020-05-17,37
2020-05-24,27
2020-05-31,19
2020-06-07,14
2020-06-14,10
2020-06-21,7
2020-06-28,7
2020-07-05,9
2020-07-12,12
2020-07-19,12
2020-07-26,11
2020-08-02,11
2020-08-09,9
2020-08-16,10
2020-08-23,9
2020-08-30,9
2020-09-06,8
2020-09-13,13
2020-09-20,8
2020-09-27,6
2020-10-04,6
2020-10-11,8
2020-10-18,7
2020-10-25,9
2020-11-01,8
2020-11-08,12
2020-11-15,15
2020-11-22,12
2020-11-29,10
2020-12-06,10
2020-12-13,10
2020-12-20,10
2020-12-27,12
