Category: All categories

Week,drosten: (Germany)
2020-01-05,0
2020-01-12,<1
2020-01-19,<1
2020-01-26,1
2020-02-02,<1
2020-02-09,<1
2020-02-16,<1
2020-02-23,6
2020-03-01,11
2020-03-08,52
2020-03-15,100
2020-03-22,87
2020-03-29,83
2020-04-05,58
2020-04-12,48
2020-04-19,65
2020-04-26,60
2020-05-03,46
2020-05-10,41
2020-05-17,31
2020-05-24,65
2020-05-31,33
2020-06-07,26
2020-06-14,21
2020-06-21,26
2020-06-28,14
2020-07-05,10
2020-07-12,8
2020-07-19,8
2020-07-26,9
2020-08-02,16
2020-08-09,10
2020-08-16,10
2020-08-23,11
2020-08-30,23
2020-09-06,13
2020-09-13,18
2020-09-20,26
2020-09-27,18
2020-10-04,19
2020-10-11,20
2020-10-18,22
2020-10-25,26
2020-11-01,17
2020-11-08,18
2020-11-15,17
2020-11-22,18
2020-11-29,14
2020-12-06,20
2020-12-13,16
2020-12-20,32
2020-12-27,17
