Category: All categories

Week,kneipentour: (Germany)
2020-01-05,94
2020-01-12,73
2020-01-19,74
2020-01-26,94
2020-02-02,55
2020-02-09,73
2020-02-16,56
2020-02-23,55
2020-03-01,55
2020-03-08,68
2020-03-15,67
2020-03-22,100
2020-03-29,66
2020-04-05,18
2020-04-12,0
2020-04-19,17
2020-04-26,17
2020-05-03,17
2020-05-10,0
2020-05-17,18
2020-05-24,0
2020-05-31,34
2020-06-07,17
2020-06-14,51
2020-06-21,18
2020-06-28,53
2020-07-05,72
2020-07-12,38
2020-07-19,0
2020-07-26,58
2020-08-02,0
2020-08-09,38
2020-08-16,19
2020-08-23,19
2020-08-30,38
2020-09-06,57
2020-09-13,57
2020-09-20,55
2020-09-27,75
2020-10-04,38
2020-10-11,39
2020-10-18,0
2020-10-25,38
2020-11-01,0
2020-11-08,38
2020-11-15,56
2020-11-22,0
2020-11-29,0
2020-12-06,55
2020-12-13,36
2020-12-20,0
2020-12-27,40
