date,value
2020-01-05,5
2020-01-12,4
2020-01-19,5
2020-01-26,9
2020-02-02,6
2020-02-09,6
2020-02-16,7
2020-02-23,22
2020-03-01,9
2020-03-08,11
2020-03-15,21
2020-03-22,26
2020-03-29,37
2020-04-05,31
2020-04-12,41
2020-04-19,100
2020-04-26,78
2020-05-03,37
2020-05-10,32
2020-05-17,25
2020-05-24,19
2020-05-31,17
2020-06-07,15
2020-06-14,16
2020-06-21,14
2020-06-28,15
2020-07-05,16
2020-07-12,17
2020-07-19,17
2020-07-26,17
2020-08-02,23
2020-08-09,22
2020-08-16,24
2020-08-23,24
2020-08-30,20
2020-09-06,19
2020-09-13,19
2020-09-20,19
2020-09-27,22
2020-10-04,25
2020-10-11,32
2020-10-18,40
2020-10-25,51
2020-11-01,36
2020-11-08,33
2020-11-15,31
2020-11-22,25
2020-11-29,27
2020-12-06,40
2020-12-13,44
2020-12-20,25
2020-12-27,17
