date,value
2020-01-05,6
2020-01-12,5
2020-01-19,7
2020-01-26,5
2020-02-02,9
2020-02-09,11
2020-02-16,8
2020-02-23,8
2020-03-01,8
2020-03-08,23
2020-03-15,99
2020-03-22,99
2020-03-29,22
2020-04-05,28
2020-04-12,100
2020-04-19,22
2020-04-26,32
2020-05-03,36
2020-05-10,15
2020-05-17,9
2020-05-24,11
2020-05-31,10
2020-06-07,7
2020-06-14,8
2020-06-21,8
2020-06-28,10
2020-07-05,8
2020-07-12,13
2020-07-19,8
2020-07-26,6
2020-08-02,6
2020-08-09,6
2020-08-16,9
2020-08-23,14
2020-08-30,8
2020-09-06,6
2020-09-13,7
2020-09-20,6
2020-09-27,12
2020-10-04,9
2020-10-11,20
2020-10-18,11
2020-10-25,53
2020-11-01,19
2020-11-08,15
2020-11-15,36
2020-11-22,28
2020-11-29,9
2020-12-06,26
2020-12-13,21
2020-12-20,9
2020-12-27,18
