date,value
2020-01-05,62
2020-01-12,53
2020-01-19,56
2020-01-26,58
2020-02-02,52
2020-02-09,52
2020-02-16,53
2020-02-23,54
2020-03-01,49
2020-03-08,52
2020-03-15,76
2020-03-22,82
2020-03-29,87
2020-04-05,76
2020-04-12,78
2020-04-19,70
2020-04-26,73
2020-05-03,62
2020-05-10,60
2020-05-17,58
2020-05-24,53
2020-05-31,56
2020-06-07,60
2020-06-14,56
2020-06-21,49
2020-06-28,57
2020-07-05,57
2020-07-12,55
2020-07-19,56
2020-07-26,52
2020-08-02,51
2020-08-09,48
2020-08-16,53
2020-08-23,55
2020-08-30,56
2020-09-06,53
2020-09-13,50
2020-09-20,54
2020-09-27,55
2020-10-04,56
2020-10-11,58
2020-10-18,62
2020-10-25,62
2020-11-01,56
2020-11-08,60
2020-11-15,59
2020-11-22,59
2020-11-29,60
2020-12-06,57
2020-12-13,68
2020-12-20,96
2020-12-27,100
