Category: All categories

Week,querdenken: (Germany)
2020-01-05,0
2020-01-12,<1
2020-01-19,<1
2020-01-26,1
2020-02-02,1
2020-02-09,<1
2020-02-16,0
2020-02-23,0
2020-03-01,<1
2020-03-08,0
2020-03-15,<1
2020-03-22,0
2020-03-29,<1
2020-04-05,<1
2020-04-12,0
2020-04-19,1
2020-04-26,4
2020-05-03,12
2020-05-10,16
2020-05-17,9
2020-05-24,3
2020-05-31,3
2020-06-07,4
2020-06-14,3
2020-06-21,2
2020-06-28,2
2020-07-05,4
2020-07-12,6
2020-07-19,9
2020-07-26,30
2020-08-02,47
2020-08-09,37
2020-08-16,28
2020-08-23,100
2020-08-30,81
2020-09-06,38
2020-09-13,22
2020-09-20,19
2020-09-27,20
2020-10-04,18
2020-10-11,16
2020-10-18,16
2020-10-25,29
2020-11-01,49
2020-11-08,68
2020-11-15,48
2020-11-22,29
2020-11-29,23
2020-12-06,37
2020-12-13,32
2020-12-20,24
2020-12-27,12
