Woche,BER: (Deutschland)
2019-01-06,9
2019-01-13,11
2019-01-20,12
2019-01-27,12
2019-02-03,9
2019-02-10,7
2019-02-17,9
2019-02-24,9
2019-03-03,10
2019-03-10,10
2019-03-17,14
2019-03-24,11
2019-03-31,9
2019-04-07,18
2019-04-14,20
2019-04-21,10
2019-04-28,10
2019-05-05,18
2019-05-12,14
2019-05-19,11
2019-05-26,10
2019-06-02,13
2019-06-09,8
2019-06-16,13
2019-06-23,12
2019-06-30,10
2019-07-07,8
2019-07-14,8
2019-07-21,10
2019-07-28,17
2019-08-04,14
2019-08-11,13
2019-08-18,10
2019-08-25,11
2019-09-01,10
2019-09-08,17
2019-09-15,15
2019-09-22,19
2019-09-29,12
2019-10-06,11
2019-10-13,13
2019-10-20,12
2019-10-27,11
2019-11-03,9
2019-11-10,13
2019-11-17,12
2019-11-24,23
2019-12-01,15
2019-12-08,8
2019-12-15,10
2019-12-22,11
2019-12-29,12
2020-01-05,13
2020-01-12,12
2020-01-19,11
2020-01-26,21
2020-02-02,11
2020-02-09,10
2020-02-16,11
2020-02-23,11
2020-03-01,11
2020-03-08,10
2020-03-15,8
2020-03-22,10
2020-03-29,9
2020-04-05,10
2020-04-12,9
2020-04-19,23
2020-04-26,21
2020-05-03,13
2020-05-10,12
2020-05-17,17
2020-05-24,10
2020-05-31,10
2020-06-07,9
2020-06-14,10
2020-06-21,9
2020-06-28,10
2020-07-05,11
2020-07-12,11
2020-07-19,13
2020-07-26,12
2020-08-02,9
2020-08-09,11
2020-08-16,14
2020-08-23,16
2020-08-30,14
2020-09-06,15
2020-09-13,13
2020-09-20,15
2020-09-27,19
2020-10-04,28
2020-10-11,22
2020-10-18,32
2020-10-25,100
2020-11-01,64
2020-11-08,41
2020-11-15,23
2020-11-22,19
2020-11-29,17
2020-12-06,18
2020-12-13,22
2020-12-20,23
2020-12-27,17
