Kategorie: Alle Kategorien

Woche,alkohol: (Deutschland)
2019-01-06,58
2019-01-13,60
2019-01-20,55
2019-01-27,61
2019-02-03,58
2019-02-10,55
2019-02-17,60
2019-02-24,61
2019-03-03,69
2019-03-10,56
2019-03-17,58
2019-03-24,56
2019-03-31,56
2019-04-07,61
2019-04-14,64
2019-04-21,62
2019-04-28,58
2019-05-05,55
2019-05-12,56
2019-05-19,61
2019-05-26,65
2019-06-02,60
2019-06-09,66
2019-06-16,66
2019-06-23,63
2019-06-30,66
2019-07-07,61
2019-07-14,65
2019-07-21,67
2019-07-28,64
2019-08-04,63
2019-08-11,60
2019-08-18,62
2019-08-25,63
2019-09-01,52
2019-09-08,57
2019-09-15,57
2019-09-22,52
2019-09-29,61
2019-10-06,59
2019-10-13,59
2019-10-20,64
2019-10-27,66
2019-11-03,57
2019-11-10,59
2019-11-17,60
2019-11-24,57
2019-12-01,63
2019-12-08,68
2019-12-15,70
2019-12-22,96
2019-12-29,90
2020-01-05,63
2020-01-12,66
2020-01-19,61
2020-01-26,59
2020-02-02,61
2020-02-09,59
2020-02-16,69
2020-02-23,75
2020-03-01,62
2020-03-08,65
2020-03-15,68
2020-03-22,54
2020-03-29,49
2020-04-05,52
2020-04-12,52
2020-04-19,50
2020-04-26,54
2020-05-03,52
2020-05-10,50
2020-05-17,68
2020-05-24,57
2020-05-31,57
2020-06-07,59
2020-06-14,60
2020-06-21,64
2020-06-28,67
2020-07-05,60
2020-07-12,63
2020-07-19,68
2020-07-26,63
2020-08-02,62
2020-08-09,61
2020-08-16,61
2020-08-23,61
2020-08-30,56
2020-09-06,63
2020-09-13,63
2020-09-20,58
2020-09-27,57
2020-10-04,58
2020-10-11,59
2020-10-18,56
2020-10-25,57
2020-11-01,46
2020-11-08,56
2020-11-15,59
2020-11-22,55
2020-11-29,55
2020-12-06,59
2020-12-13,63
2020-12-20,82
2020-12-27,100
