Woche,attila hildmann: (Deutschland)
2019-01-06,1
2019-01-13,1
2019-01-20,2
2019-01-27,2
2019-02-03,3
2019-02-10,2
2019-02-17,2
2019-02-24,1
2019-03-03,1
2019-03-10,3
2019-03-17,3
2019-03-24,3
2019-03-31,2
2019-04-07,<1
2019-04-14,2
2019-04-21,<1
2019-04-28,1
2019-05-05,2
2019-05-12,2
2019-05-19,<1
2019-05-26,2
2019-06-02,2
2019-06-09,2
2019-06-16,2
2019-06-23,1
2019-06-30,1
2019-07-07,1
2019-07-14,2
2019-07-21,1
2019-07-28,1
2019-08-04,3
2019-08-11,1
2019-08-18,1
2019-08-25,1
2019-09-01,1
2019-09-08,<1
2019-09-15,<1
2019-09-22,2
2019-09-29,1
2019-10-06,2
2019-10-13,2
2019-10-20,1
2019-10-27,1
2019-11-03,2
2019-11-10,2
2019-11-17,1
2019-11-24,1
2019-12-01,2
2019-12-08,1
2019-12-15,2
2019-12-22,1
2019-12-29,2
2020-01-05,1
2020-01-12,2
2020-01-19,2
2020-01-26,1
2020-02-02,1
2020-02-09,2
2020-02-16,1
2020-02-23,1
2020-03-01,2
2020-03-08,2
2020-03-15,1
2020-03-22,2
2020-03-29,1
2020-04-05,1
2020-04-12,2
2020-04-19,2
2020-04-26,8
2020-05-03,86
2020-05-10,100
2020-05-17,76
2020-05-24,38
2020-05-31,25
2020-06-07,29
2020-06-14,38
2020-06-21,30
2020-06-28,40
2020-07-05,21
2020-07-12,20
2020-07-19,88
2020-07-26,32
2020-08-02,23
2020-08-09,17
2020-08-16,12
2020-08-23,68
2020-08-30,83
2020-09-06,26
2020-09-13,15
2020-09-20,12
2020-09-27,14
2020-10-04,47
2020-10-11,39
2020-10-18,22
2020-10-25,14
2020-11-01,9
2020-11-08,14
2020-11-15,41
2020-11-22,14
2020-11-29,11
2020-12-06,10
2020-12-13,18
2020-12-20,17
2020-12-27,17
