Kategorie: Alle Kategorien

Woche,bill gates: (Deutschland)
2019-01-06,4
2019-01-13,4
2019-01-20,5
2019-01-27,3
2019-02-03,3
2019-02-10,4
2019-02-17,4
2019-02-24,3
2019-03-03,3
2019-03-10,3
2019-03-17,3
2019-03-24,2
2019-03-31,2
2019-04-07,3
2019-04-14,2
2019-04-21,3
2019-04-28,2
2019-05-05,2
2019-05-12,2
2019-05-19,3
2019-05-26,3
2019-06-02,4
2019-06-09,3
2019-06-16,3
2019-06-23,3
2019-06-30,2
2019-07-07,2
2019-07-14,4
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,4
2019-08-18,3
2019-08-25,3
2019-09-01,3
2019-09-08,4
2019-09-15,6
2019-09-22,13
2019-09-29,7
2019-10-06,5
2019-10-13,4
2019-10-20,4
2019-10-27,5
2019-11-03,6
2019-11-10,5
2019-11-17,5
2019-11-24,4
2019-12-01,4
2019-12-08,3
2019-12-15,4
2019-12-22,4
2019-12-29,4
2020-01-05,5
2020-01-12,7
2020-01-19,6
2020-01-26,14
2020-02-02,8
2020-02-09,12
2020-02-16,8
2020-02-23,8
2020-03-01,6
2020-03-08,9
2020-03-15,18
2020-03-22,20
2020-03-29,24
2020-04-05,27
2020-04-12,79
2020-04-19,47
2020-04-26,47
2020-05-03,100
2020-05-10,71
2020-05-17,38
2020-05-24,28
2020-05-31,19
2020-06-07,15
2020-06-14,12
2020-06-21,8
2020-06-28,9
2020-07-05,9
2020-07-12,10
2020-07-19,13
2020-07-26,10
2020-08-02,11
2020-08-09,9
2020-08-16,10
2020-08-23,9
2020-08-30,8
2020-09-06,6
2020-09-13,11
2020-09-20,6
2020-09-27,5
2020-10-04,5
2020-10-11,8
2020-10-18,9
2020-10-25,8
2020-11-01,8
2020-11-08,13
2020-11-15,12
2020-11-22,12
2020-11-29,10
2020-12-06,14
2020-12-13,10
2020-12-20,10
2020-12-27,13
