date,value
2019-01-06,1
2019-01-13,2
2019-01-20,1
2019-01-27,2
2019-02-03,1
2019-02-10,2
2019-02-17,2
2019-02-24,2
2019-03-03,2
2019-03-10,2
2019-03-17,1
2019-03-24,2
2019-03-31,1
2019-04-07,2
2019-04-14,1
2019-04-21,1
2019-04-28,1
2019-05-05,1
2019-05-12,1
2019-05-19,2
2019-05-26,2
2019-06-02,1
2019-06-09,2
2019-06-16,1
2019-06-23,1
2019-06-30,1
2019-07-07,1
2019-07-14,2
2019-07-21,1
2019-07-28,1
2019-08-04,1
2019-08-11,2
2019-08-18,1
2019-08-25,2
2019-09-01,1
2019-09-08,2
2019-09-15,1
2019-09-22,2
2019-09-29,1
2019-10-06,1
2019-10-13,2
2019-10-20,2
2019-10-27,1
2019-11-03,2
2019-11-10,2
2019-11-17,2
2019-11-24,2
2019-12-01,1
2019-12-08,2
2019-12-15,1
2019-12-22,1
2019-12-29,1
2020-01-05,2
2020-01-12,2
2020-01-19,2
2020-01-26,5
2020-02-02,3
2020-02-09,3
2020-02-16,3
2020-02-23,72
2020-03-01,88
2020-03-08,91
2020-03-15,100
2020-03-22,59
2020-03-29,34
2020-04-05,21
2020-04-12,19
2020-04-19,40
2020-04-26,26
2020-05-03,19
2020-05-10,17
2020-05-17,12
2020-05-24,10
2020-05-31,7
2020-06-07,5
2020-06-14,5
2020-06-21,4
2020-06-28,5
2020-07-05,5
2020-07-12,3
2020-07-19,4
2020-07-26,5
2020-08-02,5
2020-08-09,5
2020-08-16,5
2020-08-23,5
2020-08-30,5
2020-09-06,4
2020-09-13,5
2020-09-20,4
2020-09-27,4
2020-10-04,5
2020-10-11,5
2020-10-18,7
2020-10-25,5
2020-11-01,5
2020-11-08,5
2020-11-15,4
2020-11-22,4
2020-11-29,4
2020-12-06,3
2020-12-13,4
2020-12-20,4
2020-12-27,3
