Woche,homeworkout: (Deutschland)
2019-01-06,33
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,0
2019-02-10,11
2019-02-17,23
2019-02-24,12
2019-03-03,0
2019-03-10,22
2019-03-17,12
2019-03-24,12
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,23
2019-05-19,11
2019-05-26,0
2019-06-02,0
2019-06-09,12
2019-06-16,35
2019-06-23,0
2019-06-30,12
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,46
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,11
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,10
2019-11-10,10
2019-11-17,21
2019-11-24,0
2019-12-01,0
2019-12-08,11
2019-12-15,11
2019-12-22,12
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,20
2020-02-16,20
2020-02-23,10
2020-03-01,0
2020-03-08,19
2020-03-15,90
2020-03-22,100
2020-03-29,81
2020-04-05,89
2020-04-12,57
2020-04-19,64
2020-04-26,99
2020-05-03,9
2020-05-10,18
2020-05-17,29
2020-05-24,9
2020-05-31,18
2020-06-07,19
2020-06-14,0
2020-06-21,10
2020-06-28,19
2020-07-05,10
2020-07-12,21
2020-07-19,0
2020-07-26,21
2020-08-02,11
2020-08-09,10
2020-08-16,10
2020-08-23,10
2020-08-30,0
2020-09-06,10
2020-09-13,10
2020-09-20,20
2020-09-27,0
2020-10-04,20
2020-10-11,11
2020-10-18,21
2020-10-25,10
2020-11-01,75
2020-11-08,31
2020-11-15,30
2020-11-22,30
2020-11-29,10
2020-12-06,10
2020-12-13,40
2020-12-20,23
2020-12-27,44
