Woche,klopapier: (Deutschland)
2019-01-06,8
2019-01-13,2
2019-01-20,2
2019-01-27,2
2019-02-03,2
2019-02-10,2
2019-02-17,1
2019-02-24,1
2019-03-03,1
2019-03-10,1
2019-03-17,2
2019-03-24,1
2019-03-31,1
2019-04-07,1
2019-04-14,1
2019-04-21,1
2019-04-28,1
2019-05-05,1
2019-05-12,1
2019-05-19,1
2019-05-26,1
2019-06-02,1
2019-06-09,2
2019-06-16,2
2019-06-23,1
2019-06-30,1
2019-07-07,1
2019-07-14,1
2019-07-21,1
2019-07-28,1
2019-08-04,1
2019-08-11,1
2019-08-18,1
2019-08-25,1
2019-09-01,1
2019-09-08,1
2019-09-15,1
2019-09-22,1
2019-09-29,1
2019-10-06,1
2019-10-13,1
2019-10-20,1
2019-10-27,2
2019-11-03,1
2019-11-10,1
2019-11-17,1
2019-11-24,1
2019-12-01,1
2019-12-08,1
2019-12-15,2
2019-12-22,1
2019-12-29,1
2020-01-05,1
2020-01-12,1
2020-01-19,1
2020-01-26,1
2020-02-02,1
2020-02-09,1
2020-02-16,1
2020-02-23,1
2020-03-01,7
2020-03-08,23
2020-03-15,100
2020-03-22,56
2020-03-29,35
2020-04-05,18
2020-04-12,10
2020-04-19,5
2020-04-26,6
2020-05-03,4
2020-05-10,3
2020-05-17,2
2020-05-24,3
2020-05-31,3
2020-06-07,2
2020-06-14,2
2020-06-21,1
2020-06-28,2
2020-07-05,1
2020-07-12,1
2020-07-19,1
2020-07-26,2
2020-08-02,2
2020-08-09,1
2020-08-16,2
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,2
2020-09-27,1
2020-10-04,2
2020-10-11,6
2020-10-18,16
2020-10-25,10
2020-11-01,4
2020-11-08,3
2020-11-15,2
2020-11-22,2
2020-11-29,3
2020-12-06,4
2020-12-13,4
2020-12-20,2
2020-12-27,3
