date,value
2019-01-06,10
2019-01-13,5
2019-01-20,20
2019-01-27,20
2019-02-03,15
2019-02-10,10
2019-02-17,26
2019-02-24,21
2019-03-03,10
2019-03-10,35
2019-03-17,37
2019-03-24,43
2019-03-31,47
2019-04-07,31
2019-04-14,0
2019-04-21,55
2019-04-28,21
2019-05-05,25
2019-05-12,21
2019-05-19,15
2019-05-26,27
2019-06-02,21
2019-06-09,16
2019-06-16,32
2019-06-23,27
2019-06-30,16
2019-07-07,15
2019-07-14,21
2019-07-21,11
2019-07-28,17
2019-08-04,11
2019-08-11,42
2019-08-18,11
2019-08-25,21
2019-09-01,26
2019-09-08,47
2019-09-15,26
2019-09-22,50
2019-09-29,71
2019-10-06,100
2019-10-13,50
2019-10-20,39
2019-10-27,44
2019-11-03,38
2019-11-10,43
2019-11-17,10
2019-11-24,14
2019-12-01,10
2019-12-08,10
2019-12-15,15
2019-12-22,28
2019-12-29,10
2020-01-05,28
2020-01-12,9
2020-01-19,28
2020-01-26,14
2020-02-02,23
2020-02-09,27
2020-02-16,28
2020-02-23,23
2020-03-01,32
2020-03-08,13
2020-03-15,8
2020-03-22,21
2020-03-29,8
2020-04-05,5
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,4
2020-05-10,0
2020-05-17,9
2020-05-24,0
2020-05-31,17
2020-06-07,4
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,9
2020-07-19,0
2020-07-26,14
2020-08-02,0
2020-08-09,5
2020-08-16,9
2020-08-23,5
2020-08-30,9
2020-09-06,14
2020-09-13,19
2020-09-20,18
2020-09-27,18
2020-10-04,5
2020-10-11,0
2020-10-18,0
2020-10-25,5
2020-11-01,13
2020-11-08,9
2020-11-15,5
2020-11-22,5
2020-11-29,0
2020-12-06,18
2020-12-13,5
2020-12-20,0
2020-12-27,15
