date,value
2019-01-06,4
2019-01-13,4
2019-01-20,4
2019-01-27,4
2019-02-03,5
2019-02-10,5
2019-02-17,6
2019-02-24,6
2019-03-03,4
2019-03-10,4
2019-03-17,5
2019-03-24,5
2019-03-31,4
2019-04-07,4
2019-04-14,4
2019-04-21,4
2019-04-28,5
2019-05-05,4
2019-05-12,3
2019-05-19,4
2019-05-26,3
2019-06-02,4
2019-06-09,4
2019-06-16,4
2019-06-23,4
2019-06-30,4
2019-07-07,3
2019-07-14,4
2019-07-21,4
2019-07-28,4
2019-08-04,3
2019-08-11,4
2019-08-18,4
2019-08-25,4
2019-09-01,4
2019-09-08,4
2019-09-15,4
2019-09-22,5
2019-09-29,5
2019-10-06,6
2019-10-13,5
2019-10-20,5
2019-10-27,7
2019-11-03,4
2019-11-10,4
2019-11-17,4
2019-11-24,4
2019-12-01,4
2019-12-08,3
2019-12-15,3
2019-12-22,5
2019-12-29,4
2020-01-05,4
2020-01-12,5
2020-01-19,5
2020-01-26,9
2020-02-02,6
2020-02-09,7
2020-02-16,7
2020-02-23,23
2020-03-01,9
2020-03-08,11
2020-03-15,20
2020-03-22,26
2020-03-29,36
2020-04-05,30
2020-04-12,41
2020-04-19,100
2020-04-26,77
2020-05-03,36
2020-05-10,32
2020-05-17,24
2020-05-24,20
2020-05-31,17
2020-06-07,16
2020-06-14,15
2020-06-21,14
2020-06-28,14
2020-07-05,16
2020-07-12,17
2020-07-19,16
2020-07-26,17
2020-08-02,22
2020-08-09,21
2020-08-16,24
2020-08-23,23
2020-08-30,20
2020-09-06,19
2020-09-13,19
2020-09-20,18
2020-09-27,23
2020-10-04,25
2020-10-11,30
2020-10-18,41
2020-10-25,52
2020-11-01,34
2020-11-08,32
2020-11-15,30
2020-11-22,24
2020-11-29,26
2020-12-06,38
2020-12-13,41
2020-12-20,25
2020-12-27,16
