date,value
2019-01-06,6
2019-01-13,5
2019-01-20,6
2019-01-27,5
2019-02-03,7
2019-02-10,7
2019-02-17,7
2019-02-24,5
2019-03-03,5
2019-03-10,6
2019-03-17,6
2019-03-24,5
2019-03-31,7
2019-04-07,10
2019-04-14,8
2019-04-21,6
2019-04-28,6
2019-05-05,6
2019-05-12,7
2019-05-19,6
2019-05-26,12
2019-06-02,9
2019-06-09,5
2019-06-16,33
2019-06-23,39
2019-06-30,14
2019-07-07,40
2019-07-14,22
2019-07-21,9
2019-07-28,9
2019-08-04,6
2019-08-11,7
2019-08-18,7
2019-08-25,9
2019-09-01,10
2019-09-08,7
2019-09-15,6
2019-09-22,10
2019-09-29,6
2019-10-06,6
2019-10-13,5
2019-10-20,6
2019-10-27,8
2019-11-03,8
2019-11-10,6
2019-11-17,6
2019-11-24,6
2019-12-01,5
2019-12-08,5
2019-12-15,5
2019-12-22,6
2019-12-29,18
2020-01-05,7
2020-01-12,6
2020-01-19,7
2020-01-26,5
2020-02-02,9
2020-02-09,10
2020-02-16,8
2020-02-23,8
2020-03-01,8
2020-03-08,23
2020-03-15,96
2020-03-22,98
2020-03-29,22
2020-04-05,28
2020-04-12,100
2020-04-19,21
2020-04-26,30
2020-05-03,36
2020-05-10,13
2020-05-17,9
2020-05-24,10
2020-05-31,11
2020-06-07,7
2020-06-14,8
2020-06-21,7
2020-06-28,11
2020-07-05,8
2020-07-12,12
2020-07-19,8
2020-07-26,6
2020-08-02,6
2020-08-09,6
2020-08-16,9
2020-08-23,14
2020-08-30,7
2020-09-06,6
2020-09-13,6
2020-09-20,6
2020-09-27,12
2020-10-04,9
2020-10-11,20
2020-10-18,12
2020-10-25,49
2020-11-01,18
2020-11-08,15
2020-11-15,33
2020-11-22,26
2020-11-29,9
2020-12-06,26
2020-12-13,21
2020-12-20,9
2020-12-27,18
