date,value
2019-01-06,2
2019-01-13,2
2019-01-20,2
2019-01-27,3
2019-02-03,2
2019-02-10,2
2019-02-17,2
2019-02-24,2
2019-03-03,3
2019-03-10,3
2019-03-17,2
2019-03-24,3
2019-03-31,3
2019-04-07,3
2019-04-14,3
2019-04-21,4
2019-04-28,4
2019-05-05,4
2019-05-12,4
2019-05-19,3
2019-05-26,3
2019-06-02,4
2019-06-09,4
2019-06-16,4
2019-06-23,4
2019-06-30,5
2019-07-07,6
2019-07-14,7
2019-07-21,8
2019-07-28,9
2019-08-04,12
2019-08-11,16
2019-08-18,20
2019-08-25,22
2019-09-01,31
2019-09-08,46
2019-09-15,82
2019-09-22,100
2019-09-29,93
2019-10-06,42
2019-10-13,20
2019-10-20,14
2019-10-27,8
2019-11-03,3
2019-11-10,2
2019-11-17,2
2019-11-24,2
2019-12-01,2
2019-12-08,2
2019-12-15,2
2019-12-22,1
2019-12-29,2
2020-01-05,3
2020-01-12,3
2020-01-19,3
2020-01-26,3
2020-02-02,3
2020-02-09,3
2020-02-16,2
2020-02-23,2
2020-03-01,2
2020-03-08,2
2020-03-15,2
2020-03-22,2
2020-03-29,2
2020-04-05,4
2020-04-12,5
2020-04-19,14
2020-04-26,2
2020-05-03,2
2020-05-10,2
2020-05-17,1
2020-05-24,1
2020-05-31,1
2020-06-07,1
2020-06-14,2
2020-06-21,1
2020-06-28,2
2020-07-05,2
2020-07-12,1
2020-07-19,2
2020-07-26,2
2020-08-02,2
2020-08-09,2
2020-08-16,3
2020-08-23,3
2020-08-30,5
2020-09-06,14
2020-09-13,40
2020-09-20,25
2020-09-27,15
2020-10-04,10
2020-10-11,6
2020-10-18,4
2020-10-25,3
2020-11-01,1
2020-11-08,2
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,1
2020-12-27,1
