Woche,söder: (Deutschland)
2019-01-06,1
2019-01-13,2
2019-01-20,1
2019-01-27,1
2019-02-03,2
2019-02-10,1
2019-02-17,3
2019-02-24,2
2019-03-03,2
2019-03-10,3
2019-03-17,1
2019-03-24,1
2019-03-31,2
2019-04-07,1
2019-04-14,1
2019-04-21,1
2019-04-28,1
2019-05-05,1
2019-05-12,1
2019-05-19,1
2019-05-26,1
2019-06-02,1
2019-06-09,1
2019-06-16,1
2019-06-23,1
2019-06-30,1
2019-07-07,1
2019-07-14,1
2019-07-21,1
2019-07-28,2
2019-08-04,1
2019-08-11,1
2019-08-18,1
2019-08-25,1
2019-09-01,2
2019-09-08,1
2019-09-15,1
2019-09-22,1
2019-09-29,1
2019-10-06,1
2019-10-13,2
2019-10-20,1
2019-10-27,1
2019-11-03,1
2019-11-10,2
2019-11-17,2
2019-11-24,2
2019-12-01,2
2019-12-08,1
2019-12-15,2
2019-12-22,1
2019-12-29,1
2020-01-05,3
2020-01-12,2
2020-01-19,1
2020-01-26,2
2020-02-02,2
2020-02-09,6
2020-02-16,4
2020-02-23,3
2020-03-01,2
2020-03-08,18
2020-03-15,80
2020-03-22,28
2020-03-29,42
2020-04-05,31
2020-04-12,100
2020-04-19,26
2020-04-26,31
2020-05-03,45
2020-05-10,11
2020-05-17,10
2020-05-24,14
2020-05-31,8
2020-06-07,6
2020-06-14,14
2020-06-21,5
2020-06-28,7
2020-07-05,7
2020-07-12,10
2020-07-19,8
2020-07-26,7
2020-08-02,6
2020-08-09,12
2020-08-16,6
2020-08-23,11
2020-08-30,7
2020-09-06,5
2020-09-13,5
2020-09-20,10
2020-09-27,9
2020-10-04,6
2020-10-11,16
2020-10-18,23
2020-10-25,31
2020-11-01,7
2020-11-08,8
2020-11-15,12
2020-11-22,18
2020-11-29,10
2020-12-06,36
2020-12-13,20
2020-12-20,16
2020-12-27,8
