Kategorie: Alle Kategorien

Woche,zoom: (Deutschland)
2019-01-06,8
2019-01-13,8
2019-01-20,8
2019-01-27,9
2019-02-03,10
2019-02-10,9
2019-02-17,10
2019-02-24,10
2019-03-03,9
2019-03-10,8
2019-03-17,11
2019-03-24,13
2019-03-31,10
2019-04-07,10
2019-04-14,12
2019-04-21,12
2019-04-28,11
2019-05-05,9
2019-05-12,10
2019-05-19,9
2019-05-26,11
2019-06-02,10
2019-06-09,11
2019-06-16,12
2019-06-23,9
2019-06-30,10
2019-07-07,11
2019-07-14,11
2019-07-21,9
2019-07-28,12
2019-08-04,11
2019-08-11,12
2019-08-18,12
2019-08-25,12
2019-09-01,12
2019-09-08,15
2019-09-15,15
2019-09-22,13
2019-09-29,13
2019-10-06,13
2019-10-13,13
2019-10-20,13
2019-10-27,14
2019-11-03,14
2019-11-10,13
2019-11-17,11
2019-11-24,12
2019-12-01,11
2019-12-08,10
2019-12-15,10
2019-12-22,11
2019-12-29,10
2020-01-05,10
2020-01-12,10
2020-01-19,11
2020-01-26,11
2020-02-02,11
2020-02-09,11
2020-02-16,10
2020-02-23,10
2020-03-01,12
2020-03-08,15
2020-03-15,44
2020-03-22,92
2020-03-29,100
2020-04-05,75
2020-04-12,74
2020-04-19,95
2020-04-26,81
2020-05-03,68
2020-05-10,60
2020-05-17,44
2020-05-24,45
2020-05-31,38
2020-06-07,35
2020-06-14,36
2020-06-21,29
2020-06-28,29
2020-07-05,27
2020-07-12,27
2020-07-19,23
2020-07-26,22
2020-08-02,23
2020-08-09,21
2020-08-16,22
2020-08-23,23
2020-08-30,26
2020-09-06,26
2020-09-13,28
2020-09-20,28
2020-09-27,25
2020-10-04,28
2020-10-11,31
2020-10-18,34
2020-10-25,45
2020-11-01,60
2020-11-08,62
2020-11-15,53
2020-11-22,49
2020-11-29,47
2020-12-06,49
2020-12-13,57
2020-12-20,45
2020-12-27,30
