Kategorie,Baden,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,SachsenA,Sachsen,Schleswig,Thüringen
2019-01-06,5,7,4,29,6,8,3,8,9,10,5,0,10,6,4,8
2019-01-13,2,5,2,0,0,3,1,0,4,2,4,9,6,4,0,12
2019-01-20,1,2,3,3,0,3,2,8,4,1,4,9,0,0,0,0
2019-01-27,1,3,0,3,6,3,3,0,3,3,2,0,0,0,2,0
2019-02-03,1,3,6,0,0,0,2,0,1,2,2,0,0,2,0,0
2019-02-10,2,3,6,0,0,0,1,0,0,1,2,0,3,3,2,4
2019-02-17,1,1,3,0,0,0,0,0,4,1,2,0,3,0,0,0
2019-02-24,1,1,4,0,0,3,3,0,2,1,0,10,7,0,0,4
2019-03-03,1,1,0,0,0,0,3,0,1,2,4,0,0,1,2,0
2019-03-10,1,4,3,0,0,0,3,0,2,2,0,0,0,0,0,0
2019-03-17,1,1,0,0,0,0,1,8,2,1,4,0,3,1,2,4
2019-03-24,1,3,1,0,0,0,1,0,1,1,0,0,0,1,4,0
2019-03-31,1,2,0,0,0,0,4,0,2,2,2,0,0,0,4,0
2019-04-07,1,1,2,0,0,0,3,0,0,1,4,0,3,0,0,0
2019-04-14,1,1,2,0,0,3,1,0,1,1,4,0,0,0,0,0
2019-04-21,1,1,0,0,0,3,2,8,1,2,0,0,0,1,0,0
2019-04-28,1,1,4,3,0,3,0,0,0,1,0,0,0,0,0,4
2019-05-05,1,1,0,3,0,0,2,0,1,1,2,9,0,0,0,0
2019-05-12,1,1,0,0,0,0,1,0,1,1,2,9,0,1,2,0
2019-05-19,1,1,0,0,0,0,0,0,3,1,0,0,0,0,2,0
2019-05-26,2,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0
2019-06-02,1,1,1,0,6,0,1,0,1,1,2,0,0,4,0,9
2019-06-09,1,2,0,0,0,0,3,8,4,1,4,0,0,1,2,4
2019-06-16,1,2,0,0,0,0,1,8,1,2,2,10,0,0,0,0
2019-06-23,1,1,0,3,0,0,2,0,2,1,2,0,0,1,2,0
2019-06-30,2,1,0,0,0,3,1,0,1,1,2,9,0,0,2,0
2019-07-07,1,1,1,0,0,0,1,0,1,1,0,9,3,0,0,0
2019-07-14,1,1,2,0,6,0,1,0,1,1,0,0,0,0,0,0
2019-07-21,1,2,2,4,0,7,1,0,2,0,2,0,0,3,0,5
2019-07-28,1,1,1,0,0,0,1,7,3,2,0,0,0,1,0,0
2019-08-04,1,1,1,0,0,0,1,0,1,2,2,0,0,0,2,0
2019-08-11,1,2,1,3,0,0,3,0,1,0,0,0,7,1,0,0
2019-08-18,1,1,0,0,0,0,1,7,1,1,0,0,0,0,2,0
2019-08-25,1,3,1,0,0,0,1,0,1,1,0,0,3,2,0,0
2019-09-01,2,1,1,0,0,6,2,0,1,1,0,0,0,0,6,0
2019-09-08,1,1,0,0,0,0,1,7,2,1,0,0,0,0,0,4
2019-09-15,1,1,0,0,0,3,3,0,0,1,2,0,3,0,0,0
2019-09-22,1,1,0,0,0,3,3,0,2,2,0,9,0,0,2,0
2019-09-29,0,2,3,0,0,0,0,7,1,2,0,0,0,2,2,0
2019-10-06,1,2,1,0,0,0,2,0,2,1,0,0,3,0,2,0
2019-10-13,1,2,1,0,0,0,2,7,1,1,4,9,0,1,2,0
2019-10-20,1,2,0,0,5,0,1,0,1,1,2,0,0,2,6,0
2019-10-27,2,2,0,3,6,0,2,7,1,3,2,0,0,1,8,4
2019-11-03,1,1,1,6,0,3,2,14,2,1,0,0,0,0,0,4
