Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2019-01-06,51,55,47,62,50,48,53,78,59,57,52,44,56,72,62,43
2019-01-13,53,57,36,48,37,36,51,55,54,63,58,52,53,56,48,57
2019-01-20,62,44,44,56,62,44,50,56,49,57,57,60,55,46,37,73
2019-01-27,65,56,22,32,26,47,54,26,58,56,47,60,60,69,66,34
2019-02-03,61,61,49,37,29,37,62,61,63,53,53,48,44,52,44,37
2019-02-10,60,58,39,67,42,40,50,38,49,53,59,75,52,69,54,76
2019-02-17,64,50,49,39,48,40,52,64,56,63,58,50,45,70,51,38
2019-02-24,71,60,41,50,35,47,55,72,64,70,78,43,79,67,57,38
2019-03-03,73,62,40,43,50,48,60,69,71,71,61,57,67,69,62,56
2019-03-10,65,48,47,33,49,38,59,52,52,58,54,33,66,44,40,48
2019-03-17,67,49,47,43,43,47,52,61,68,53,52,47,79,57,58,49
2019-03-24,61,51,42,40,32,45,50,51,51,52,51,59,49,43,63,31
2019-03-31,61,41,39,56,38,36,54,88,60,55,53,58,54,58,46,37
2019-04-07,60,48,34,37,51,35,50,54,59,56,58,46,42,54,66,53
2019-04-14,68,54,40,46,37,56,56,64,68,60,48,26,47,69,44,67
2019-04-21,63,49,53,50,58,55,48,91,67,55,48,72,63,69,52,38
2019-04-28,63,55,34,56,30,45,51,65,73,63,57,54,54,40,59,68
2019-05-05,55,54,38,34,29,41,55,39,55,53,60,55,65,65,51,48
2019-05-12,60,60,49,30,33,39,56,56,64,58,65,51,50,60,59,60
2019-05-19,58,54,48,52,40,53,60,55,65,55,73,41,74,77,46,54
2019-05-26,73,55,43,61,47,57,70,38,77,71,59,42,80,71,55,69
2019-06-02,72,51,35,51,30,48,49,74,72,62,55,33,60,70,48,46
2019-06-09,64,64,48,49,33,39,63,69,72,69,56,57,69,73,60,43
2019-06-16,73,54,42,38,46,44,57,65,63,65,68,68,61,53,54,67
2019-06-23,67,71,39,55,47,45,72,65,70,68,65,59,67,57,51,61
2019-06-30,67,55,57,44,36,39,66,52,66,61,70,47,65,74,48,82
