Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2019-01-06,1,2,2,0,0,0,2,13,0,2,0,0,8,0,12,13
2019-01-13,4,2,3,8,0,5,2,13,2,1,0,0,0,0,6,0
2019-01-20,4,3,3,0,0,0,4,0,3,2,5,16,0,0,0,0
2019-01-27,3,3,3,8,0,5,4,0,0,2,5,0,4,0,0,0
2019-02-03,3,2,4,8,0,0,2,0,2,2,0,0,4,0,6,0
2019-02-10,1,3,3,0,0,0,5,0,2,1,0,0,4,8,0,13
2019-02-17,2,2,2,0,0,0,3,0,5,1,0,0,0,0,0,0
2019-02-24,1,2,3,8,0,0,2,0,2,1,0,0,0,16,0,0
2019-03-03,3,2,2,0,0,0,2,13,2,1,5,0,4,0,0,0
2019-03-10,1,2,5,0,0,5,2,13,2,4,0,0,0,0,6,0
2019-03-17,1,3,4,8,0,5,2,0,7,3,5,0,4,0,6,13
2019-03-24,3,3,4,8,0,0,0,14,7,2,5,0,4,8,0,0
2019-03-31,2,2,3,0,18,0,2,0,4,3,0,0,4,0,6,0
2019-04-07,0,2,4,17,18,0,2,0,2,0,5,0,0,8,0,0
2019-04-14,3,2,6,9,0,5,0,0,2,4,0,0,0,0,6,0
2019-04-21,1,2,4,0,0,0,0,14,2,1,0,0,5,0,0,14
2019-04-28,3,2,4,0,0,5,2,0,2,2,0,0,4,0,6,0
2019-05-05,4,0,7,0,0,0,2,0,2,1,5,0,0,0,12,0
2019-05-12,2,0,3,0,0,0,2,0,2,1,0,17,13,0,6,0
2019-05-19,2,2,2,0,0,5,2,0,2,1,5,16,0,8,0,0
2019-05-26,2,3,2,0,0,5,2,0,2,2,5,0,0,0,6,0
2019-06-02,3,3,4,0,0,0,4,0,0,3,0,16,4,0,0,0
2019-06-09,2,0,2,0,0,0,4,0,2,2,0,0,0,0,0,0
2019-06-16,5,2,3,0,0,0,2,0,2,1,0,17,0,0,6,0
2019-06-23,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-06-30,3,3,6,0,0,0,2,0,2,2,0,0,4,0,0,13
2019-07-07,1,2,3,8,0,6,4,13,0,1,0,0,4,0,0,0
2019-07-14,1,2,5,0,0,0,2,0,5,1,0,0,5,9,6,0
2019-07-21,3,2,2,0,0,6,0,0,4,1,6,0,10,0,0,0
2019-07-28,1,2,2,0,0,0,5,0,0,3,0,0,5,0,0,0
2019-08-04,1,3,5,8,0,5,0,13,2,4,11,0,5,9,0,0
2019-08-11,2,2,2,8,0,0,2,0,2,1,0,0,0,0,0,0
2019-08-18,1,5,5,0,0,0,2,0,0,1,5,0,0,0,0,0
2019-08-25,0,4,2,0,0,0,0,0,0,1,0,0,0,0,6,0
2019-09-01,2,2,2,0,0,0,2,0,0,1,5,0,4,8,5,13
2019-09-08,4,2,3,0,0,5,4,0,0,0,5,16,4,8,0,0
2019-09-15,1,3,2,8,0,0,3,13,2,1,11,0,4,8,0,0
2019-09-22,1,2,2,0,0,0,2,0,0,1,5,0,0,0,0,13
2019-09-29,0,0,3,0,0,5,2,0,3,2,5,0,0,0,0,0
2019-10-06,2,0,3,8,0,5,4,0,2,1,0,0,0,0,6,0
2019-10-13,2,2,3,0,0,10,2,0,3,1,0,0,0,0,0,0
2019-10-20,2,2,3,0,0,4,0,0,2,2,0,0,0,7,0,0
2019-10-27,0,2,3,15,17,0,3,12,2,1,5,0,4,0,11,0
2019-11-03,3,0,4,7,0,0,0,0,0,1,5,15,0,0,0,0
2019-11-10,3,0,4,0,16,5,0,12,5,2,5,0,4,0,0,12
2019-11-17,1,2,2,0,0,4,0,12,2,1,0,0,0,7,5,0
2019-11-24,2,2,3,0,0,0,2,0,1,2,0,0,0,0,0,0
2019-12-01,2,2,4,0,0,5,0,0,4,2,0,0,6,0,5,12
2019-12-08,2,2,2,7,0,0,2,12,2,1,0,15,4,7,5,0
2019-12-15,3,3,2,11,0,0,2,0,3,1,0,0,0,0,5,0
2019-12-22,1,2,4,0,0,0,0,0,5,4,0,0,0,0,6,0
2019-12-29,2,0,2,7,0,0,2,0,3,3,0,0,4,0,5,0
2020-01-05,1,3,4,0,15,0,2,11,2,2,5,0,0,21,0,22
2020-01-12,2,0,3,0,0,9,0,0,0,2,0,0,0,0,5,0
2020-01-19,0,0,3,14,0,4,3,11,1,2,5,0,0,0,0,0
2020-01-26,2,3,4,0,0,0,2,0,4,1,5,0,0,7,0,0
2020-02-02,2,1,2,7,0,0,4,0,0,1,5,0,0,0,0,0
2020-02-09,3,3,3,0,0,0,2,0,1,2,5,0,4,0,0,0
2020-02-16,2,0,3,0,0,4,2,0,1,0,0,0,0,0,5,11
2020-02-23,0,1,3,7,0,0,3,0,1,1,0,0,4,0,0,0
2020-03-01,1,1,1,0,0,4,2,0,1,1,4,0,0,0,5,0
2020-03-08,1,1,4,0,0,4,0,0,1,3,4,0,0,0,5,0
2020-03-15,1,0,0,0,0,0,0,0,1,3,4,13,0,6,0,0
2020-03-22,2,1,3,0,0,0,2,0,1,2,4,0,0,0,0,0
2020-03-29,0,1,1,0,0,4,0,0,1,1,4,0,0,0,0,0
2020-04-05,1,1,2,0,0,4,4,11,1,1,0,0,4,0,0,0
2020-04-12,2,3,2,0,0,4,0,0,1,2,4,0,0,0,9,0
2020-04-19,2,3,3,0,0,0,2,0,3,1,4,0,0,0,0,0
2020-04-26,8,15,14,9,14,29,8,21,6,12,6,0,10,0,9,10
2020-05-03,100,84,100,92,68,100,95,48,75,84,80,88,100,47,82,86
2020-05-10,97,100,92,100,100,60,100,90,100,100,91,100,95,92,85,70
2020-05-17,77,72,65,64,53,60,78,45,61,78,80,53,74,48,69,82
2020-05-24,39,38,39,61,30,26,33,37,37,38,58,20,36,13,41,26
2020-05-31,20,33,24,33,30,16,21,24,23,23,23,25,11,25,20,25
2020-06-07,20,34,26,27,22,23,19,19,23,29,22,25,10,19,19,20
2020-06-14,28,52,56,25,37,24,34,35,38,41,32,45,34,19,54,26
2020-06-21,27,38,33,10,23,28,32,26,25,36,39,27,25,24,28,34
2020-06-28,27,44,38,39,29,36,34,19,32,37,25,33,31,23,43,49
2020-07-05,19,22,25,21,23,25,15,10,16,22,31,14,15,24,25,17
2020-07-12,12,13,21,14,17,19,12,17,14,19,23,14,16,18,13,18
2020-07-19,72,94,81,95,69,85,82,100,79,86,100,67,67,100,74,62
2020-07-26,24,27,43,25,34,35,19,20,24,31,26,15,18,19,40,25
2020-08-02,22,22,26,24,39,27,26,21,24,22,26,15,22,23,36,25
2020-08-09,11,18,13,7,30,16,9,0,15,18,11,14,23,15,33,12
2020-08-16,16,11,19,0,14,17,9,25,12,11,7,0,8,11,22,12
2020-08-23,75,75,79,64,31,56,66,70,48,66,56,36,69,22,37,42
2020-08-30,91,92,77,85,83,65,80,74,59,90,91,71,99,36,100,100
2020-09-06,22,22,29,21,24,19,22,21,16,17,21,36,25,19,32,24
2020-09-13,15,17,15,21,16,40,13,42,19,13,9,0,23,7,20,36
2020-09-20,7,12,13,7,0,17,11,11,12,12,18,14,19,7,15,11
2020-09-27,13,10,19,28,24,15,11,11,11,14,14,14,18,22,15,23
2020-10-04,45,49,34,49,47,45,49,61,48,56,50,28,34,21,47,12
2020-10-11,26,42,23,33,51,25,28,26,34,43,34,30,40,32,29,29
2020-10-18,17,19,24,18,25,26,16,21,27,26,36,29,34,15,15,36
2020-10-25,13,17,22,10,16,15,13,21,14,20,9,21,12,42,22,23
2020-11-01,11,7,13,10,0,8,9,0,9,9,10,20,7,10,7,11
2020-11-08,11,12,10,14,0,8,13,11,11,12,22,14,18,14,15,11
2020-11-15,39,42,39,47,62,24,38,39,41,45,22,28,53,62,40,49
2020-11-22,12,13,13,20,16,20,8,34,10,15,13,0,12,17,12,11
2020-11-29,11,10,12,10,16,6,14,23,5,9,24,14,10,10,10,11
,7,13,8,13,0,8,9,23,9,8,13,0,11,0,15,11
,14,14,20,30,16,12,11,23,14,16,20,27,21,34,29,33
,26,20,19,22,37,16,20,32,11,19,20,23,22,8,14,12
,15,24,19,17,0,12,11,24,16,17,14,14,27,7,13,22
