Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2019-01-06,17,26,7,15,0,0,11,14,18,14,60,20,0,0,24,27,
2019-01-13,15,16,9,15,0,18,13,0,16,27,26,19,17,16,12,26,
2019-01-20,21,32,13,0,0,17,24,14,33,22,27,0,30,17,0,27,
2019-01-27,21,29,6,30,0,52,18,0,30,27,26,0,18,0,31,0,
2019-02-03,27,29,7,0,0,9,21,0,33,20,26,0,6,17,31,26,
2019-02-10,27,15,18,15,20,26,25,15,25,26,45,0,31,34,0,0,
2019-02-17,24,31,22,14,21,16,21,15,21,29,14,0,24,0,12,13,
2019-02-24,20,45,18,14,41,39,31,43,28,25,19,0,12,50,12,26,
2019-03-03,21,29,3,29,0,33,21,0,21,21,13,0,12,17,0,26,
2019-03-10,23,29,11,55,59,23,24,0,28,25,36,0,6,31,17,25,
2019-03-17,52,66,19,65,19,61,34,13,45,36,29,17,64,15,58,24,
2019-03-24,100,72,29,100,19,43,51,65,80,92,72,85,100,29,90,93,
2019-03-31,86,100,15,49,57,63,100,100,100,100,100,0,52,72,100,69,
2019-04-07,89,86,9,57,43,46,75,43,54,61,80,37,76,50,58,0,
2019-04-14,61,76,25,53,20,88,77,27,77,66,76,18,39,63,56,100,
2019-04-21,67,48,12,13,20,58,47,40,56,61,58,35,60,15,50,85,
2019-04-28,46,61,21,38,57,100,59,39,40,64,67,100,32,44,42,0,
2019-05-05,29,48,29,65,18,63,54,27,30,38,40,17,49,15,21,36,
2019-05-12,34,50,18,26,0,64,22,13,52,32,41,0,27,15,21,12,
2019-05-19,24,41,7,42,20,24,34,0,24,26,18,18,35,100,33,26,
2019-05-26,28,44,8,27,20,24,40,66,37,36,48,18,28,0,16,25,
2019-06-02,34,31,16,0,0,0,17,12,21,27,17,35,43,15,26,0,
2019-06-09,30,31,4,13,0,38,30,12,23,24,17,18,27,30,15,12,
2019-06-16,22,60,22,27,0,8,34,12,35,29,29,0,5,47,22,12,
2019-06-23,21,30,12,28,21,0,18,26,22,20,6,19,23,34,17,27,
2019-06-30,33,38,4,43,0,50,27,12,36,36,24,37,17,32,26,0,
2019-07-07,27,30,7,15,100,35,23,38,34,22,25,0,6,33,27,13,
2019-07-14,20,24,12,31,0,64,37,42,21,15,20,0,24,0,42,0,
2019-07-21,22,18,20,0,23,46,38,0,29,21,27,0,6,0,17,15,
2019-07-28,35,27,4,16,0,73,22,12,34,18,20,20,18,19,16,15,
2019-08-04,27,42,19,30,0,18,14,0,20,17,13,0,12,0,22,0,
2019-08-11,22,28,7,15,0,18,23,0,17,15,13,39,12,18,16,0,
2019-08-18,28,29,11,44,19,34,22,12,14,18,33,0,30,18,31,0,
2019-08-25,21,22,10,60,17,32,8,25,21,22,26,39,18,0,6,29,
2019-09-01,21,21,10,0,20,51,16,0,23,20,13,20,6,35,29,14,
2019-09-08,16,32,18,15,0,25,21,13,23,32,7,20,18,18,12,0,
2019-09-15,19,26,11,0,22,9,16,13,12,22,7,20,29,18,12,14,
2019-09-22,31,41,14,45,21,25,24,0,23,13,20,20,11,0,30,14,
2019-09-29,34,36,10,30,21,34,16,14,30,14,26,20,6,36,30,14,
2019-10-06,19,16,11,31,0,54,29,28,14,18,0,0,0,35,31,0,
2019-10-13,22,32,14,32,0,18,17,13,19,29,42,41,18,18,44,42,
2019-10-20,19,30,7,16,22,17,11,27,17,21,20,41,6,18,18,58,
2019-10-27,31,32,3,45,0,50,44,13,28,31,52,0,18,17,12,14,
2019-11-03,31,47,9,14,39,38,36,40,25,26,42,18,22,48,33,0,
2019-11-10,42,50,14,15,21,40,33,14,37,31,26,59,36,52,12,0,
2019-11-17,21,51,14,15,0,40,13,0,26,29,19,0,30,17,18,13,
2019-11-24,33,22,10,29,0,8,23,14,30,32,44,0,24,0,18,0,
2019-12-01,14,40,10,0,0,8,28,14,33,20,32,0,6,51,36,0,
2019-12-08,10,35,20,15,0,40,18,14,19,16,19,38,23,0,24,13,
2019-12-15,30,29,11,29,0,33,10,0,16,10,25,19,18,0,0,0,
2019-12-22,25,20,5,16,24,10,22,32,15,25,42,21,14,0,13,0,
2019-12-29,18,26,4,15,0,49,41,29,17,27,20,0,13,34,31,27,
2020-01-05,17,26,22,15,0,0,11,14,18,14,60,20,0,0,24,27,
2020-01-12,15,16,10,15,0,18,13,0,16,27,26,19,17,16,12,26,
2020-01-19,21,32,14,0,0,17,24,14,33,22,27,0,30,17,0,27,
2020-01-26,21,29,27,30,0,52,18,0,30,27,26,0,18,0,31,0,
2020-02-02,27,29,17,0,0,9,21,0,33,20,26,0,6,17,31,26,
2020-02-09,27,15,24,15,20,26,25,15,25,26,45,0,31,34,0,0,
2020-02-16,24,31,7,14,21,16,21,15,21,29,14,0,24,0,12,13,
2020-02-23,20,45,16,14,41,39,31,43,28,25,19,0,12,50,12,26,
2020-03-01,21,29,25,29,0,33,21,0,21,21,13,0,12,17,0,26,
