Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2019-01-06,26,30,26,29,27,27,22,34,22,28,31,15,19,26,29,27,
2019-01-13,25,31,22,26,9,15,24,25,21,25,29,24,19,24,36,21,
2019-01-20,25,33,28,24,9,14,22,28,19,27,34,26,19,37,21,22,
2019-01-27,24,30,26,27,27,20,23,17,20,26,32,41,19,34,25,29,
2019-02-03,25,26,30,36,14,22,24,28,22,32,27,35,22,17,18,30,
2019-02-10,30,30,37,27,14,31,28,23,25,30,42,25,25,22,25,28,
2019-02-17,26,30,49,43,23,27,27,24,28,37,39,38,29,35,33,31,
2019-02-24,30,42,30,30,28,26,37,28,34,33,44,36,34,38,29,28,
2019-03-03,41,40,41,39,27,34,34,27,33,37,59,52,33,41,28,38,
2019-03-10,33,40,34,31,18,25,28,34,27,33,39,31,30,22,25,44,
2019-03-17,45,48,47,38,18,25,42,37,27,39,40,39,41,32,28,37,
2019-03-24,38,52,39,47,14,34,42,39,31,49,42,45,34,50,33,49,
2019-03-31,41,39,54,40,33,32,42,39,35,47,51,48,44,42,33,29,
2019-04-07,37,42,51,52,15,14,34,26,43,47,43,49,43,32,38,38,
2019-04-14,49,56,53,66,22,50,39,47,38,51,47,44,40,45,54,49,
2019-04-21,50,55,44,52,25,40,45,34,28,47,59,38,51,49,40,51,
2019-04-28,39,40,43,55,29,37,41,58,37,40,45,69,29,37,34,41,
2019-05-05,42,40,35,58,5,33,37,38,32,38,51,50,37,39,31,28,
2019-05-12,36,42,36,30,28,32,36,38,31,44,41,57,34,44,29,31,
2019-05-19,38,43,35,24,19,25,34,28,32,45,42,44,42,42,27,32,
2019-05-26,45,61,50,47,38,30,49,31,40,47,67,79,40,57,45,48,
2019-06-02,45,43,42,47,69,40,36,23,38,48,41,53,45,46,46,44,
2019-06-09,41,41,45,44,33,27,31,33,34,43,40,39,35,30,21,40,
2019-06-16,42,53,46,50,23,48,50,26,34,47,54,58,44,40,24,38,
2019-06-23,45,63,52,50,43,29,58,27,33,60,57,52,40,42,46,53,
2019-06-30,38,51,42,54,23,31,38,49,28,44,56,40,35,16,31,32,
2019-07-07,34,39,44,37,34,39,35,46,31,40,50,60,39,31,29,44,
2019-07-14,34,38,43,35,15,34,36,31,35,41,44,53,31,32,39,39,
2019-07-21,40,50,38,41,16,43,42,40,38,52,43,42,41,40,49,46,
2019-07-28,34,43,43,44,36,19,38,23,36,40,51,36,24,32,37,52,
2019-08-04,36,49,38,38,30,28,38,25,40,44,45,55,33,35,33,32,
2019-08-11,36,43,34,48,32,23,30,27,30,36,43,33,34,31,18,33,
2019-08-18,33,53,47,29,28,16,39,36,25,41,45,40,34,38,24,38,
2019-08-25,41,51,39,32,33,25,41,29,34,38,35,27,23,19,30,40,
2019-09-01,31,38,36,27,46,9,30,38,29,31,40,38,26,32,29,26,
2019-09-08,35,40,37,40,22,21,37,26,27,32,35,35,22,24,26,32,
2019-09-15,35,32,34,42,23,29,29,25,30,31,34,36,26,30,28,44,
2019-09-22,31,38,27,31,18,44,29,34,30,38,41,45,36,26,35,22,
2019-09-29,40,50,42,34,32,30,42,46,38,39,65,53,30,27,32,37,
2019-10-06,36,39,45,35,32,32,31,28,32,32,33,39,29,37,30,37,
2019-10-13,26,33,31,29,22,27,30,26,24,31,44,42,26,27,32,28,
2019-10-20,32,40,28,30,17,22,30,31,25,36,35,30,26,21,33,43,
2019-10-27,35,38,37,35,27,20,37,27,33,32,35,47,21,24,34,33,
2019-11-03,29,37,27,24,21,19,24,27,29,32,40,40,35,33,24,23,
2019-11-10,29,34,32,33,37,22,32,28,22,31,33,39,25,30,33,31,
2019-11-17,34,41,28,27,17,28,33,25,24,36,40,42,24,26,30,29,
2019-11-24,31,37,39,35,29,32,31,23,32,38,36,44,24,31,21,38,
