Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2019-01-06,1,2,2,3,0,2,2,0,1,1,0,5,3,0,2,3
2019-01-13,1,3,1,5,0,2,1,5,2,2,2,0,2,0,2,3
2019-01-20,1,1,3,0,0,2,2,0,2,2,2,5,0,3,2,0
2019-01-27,1,1,2,0,0,2,1,10,1,1,2,0,0,0,2,0
2019-02-03,2,2,3,3,0,2,2,5,2,3,2,10,2,3,0,3
2019-02-10,1,1,1,6,10,4,1,5,2,1,2,5,2,4,2,3
2019-02-17,2,1,1,3,0,4,2,5,2,2,1,5,5,3,2,7
2019-02-24,2,1,2,6,0,2,2,5,2,2,1,5,2,3,0,0
2019-03-03,1,1,2,3,0,0,2,0,3,1,1,0,2,0,2,0
2019-03-10,1,1,2,0,0,0,1,0,1,2,1,0,5,0,2,3
2019-03-17,1,3,1,0,5,0,1,5,2,1,1,5,3,0,0,7
2019-03-24,2,1,2,3,5,2,1,0,1,1,0,0,2,0,3,3
2019-03-31,2,1,2,0,0,0,1,0,2,1,2,5,3,4,4,0
2019-04-07,2,1,2,3,0,0,1,0,1,2,1,0,5,3,4,3
2019-04-14,1,1,1,3,0,2,1,5,2,1,1,11,2,0,2,0
2019-04-21,1,1,2,0,5,0,2,0,0,2,0,0,4,0,2,0
2019-04-28,1,1,0,3,0,2,2,5,1,1,2,0,3,0,2,0
2019-05-05,1,1,2,0,0,3,1,5,2,1,1,0,2,10,2,3
2019-05-12,1,1,2,6,0,2,1,0,2,2,2,5,3,3,2,3
2019-05-19,1,2,3,3,5,2,1,5,2,3,0,0,5,0,0,3
2019-05-26,2,1,1,6,0,0,4,5,1,1,1,5,2,0,2,0
2019-06-02,1,1,2,3,0,0,1,5,1,<1,0,0,2,3,2,3
2019-06-09,1,1,3,6,0,0,1,0,2,2,2,0,2,3,0,0
2019-06-16,1,2,0,3,0,2,1,5,2,1,1,0,3,0,2,3
2019-06-23,1,1,1,0,0,0,1,5,1,2,1,0,3,0,7,0
2019-06-30,1,1,3,0,5,4,1,0,1,2,1,0,3,3,2,3
2019-07-07,1,1,2,6,0,3,2,0,2,1,2,0,2,0,2,3
2019-07-14,1,1,2,0,0,0,1,0,2,1,3,0,5,6,0,4
2019-07-21,2,2,1,3,0,0,1,0,3,2,1,0,0,0,2,4
2019-07-28,2,1,2,3,0,5,1,0,2,1,1,11,3,4,0,4
2019-08-04,1,2,2,3,0,0,2,5,2,2,2,0,0,0,0,0
2019-08-11,1,1,3,4,0,5,1,0,2,2,1,0,3,0,3,3
2019-08-18,1,1,1,0,0,2,2,5,3,1,0,0,2,3,3,3
2019-08-25,1,1,2,4,5,0,1,0,2,2,1,5,4,3,2,0
2019-09-01,1,3,2,3,5,5,1,5,2,1,1,0,3,10,0,7
2019-09-08,1,2,1,3,0,2,1,9,2,1,1,5,5,7,2,3
2019-09-15,1,1,2,7,0,2,2,0,2,2,1,0,3,3,3,3
2019-09-22,2,2,2,3,10,6,1,5,2,1,3,5,2,3,2,0
2019-09-29,1,1,2,3,0,2,1,5,1,2,0,5,2,0,2,0
2019-10-06,1,1,0,3,8,3,4,0,2,2,1,0,2,0,5,0
2019-10-13,1,2,1,3,5,2,1,4,3,2,2,0,3,3,3,5
2019-10-20,2,2,2,3,5,0,2,0,1,1,0,0,3,6,0,5
2019-10-27,1,1,3,5,0,4,1,13,3,1,3,0,4,3,3,0
2019-11-03,2,2,3,3,5,3,2,0,3,2,2,0,2,0,5,5
2019-11-10,2,1,2,10,0,2,1,0,3,1,2,0,2,0,5,0
2019-11-17,2,1,0,0,5,0,2,0,1,2,1,0,2,3,2,0
2019-11-24,2,1,1,4,0,2,1,0,1,1,2,0,2,3,5,3
2019-12-01,2,1,2,3,0,2,1,9,2,1,2,0,3,0,2,3
2019-12-08,1,1,2,5,0,5,1,0,2,2,1,0,2,3,3,6
2019-12-15,2,1,1,5,5,0,1,0,2,2,2,5,2,5,2,3
2019-12-22,1,1,2,0,0,0,1,5,1,1,1,0,4,3,2,3
2019-12-29,2,1,1,0,5,0,3,4,1,1,2,5,2,3,2,5
2020-01-05,1,2,2,2,0,0,2,4,1,2,2,0,1,6,2,3
2020-01-12,1,1,3,5,0,2,1,4,1,2,3,9,1,3,0,0
2020-01-19,2,2,3,5,0,0,2,4,3,2,2,4,0,6,2,3
2020-01-26,5,4,4,9,4,4,6,8,4,5,3,4,5,3,5,4
2020-02-02,4,4,3,3,0,2,5,6,4,4,1,0,7,4,8,7
2020-02-09,2,3,4,7,5,2,3,9,3,2,2,0,5,3,5,7
2020-02-16,3,2,1,2,5,4,2,4,3,2,3,0,3,3,2,4
2020-02-23,54,73,71,80,45,69,71,100,59,78,72,54,85,61,71,77
2020-03-01,87,97,82,100,55,84,83,69,75,75,81,82,99,100,90,78
2020-03-08,100,95,75,87,100,78,94,73,85,90,87,79,96,96,89,86
2020-03-15,96,100,100,89,69,100,100,92,100,100,100,100,100,91,100,100
2020-03-22,57,60,49,53,52,44,62,52,51,54,58,40,71,65,58,68
2020-03-29,29,41,30,42,21,27,35,35,31,37,27,21,41,37,39,28
2020-04-05,20,20,23,18,12,19,19,10,20,21,18,16,15,20,19,20
2020-04-12,24,22,15,14,18,25,22,8,20,18,19,14,17,12,16,22
2020-04-19,45,44,39,35,28,32,34,28,41,40,45,30,40,27,37,25
2020-04-26,27,29,21,19,17,31,25,23,29,26,23,15,25,13,21,23
2020-05-03,21,17,15,14,18,10,22,14,15,18,15,14,14,9,14,14
