Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2019-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-27,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-10,27,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-17,0,64,0,0,0,0,0,0,0,0,68,0,0,0,0,0
2019-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-03,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
2019-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-17,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-24,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2019-03-31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-07,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-14,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
2019-04-21,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
2019-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-16,59,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
2019-06-23,0,33,0,0,0,0,0,0,0,0,0,0,59,0,0,0
2019-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-07,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
2019-07-14,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-21,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-25,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-08,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-22,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-03,0,30,0,0,0,0,0,0,0,23,0,0,0,0,0,0
2019-11-10,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2019-11-17,26,30,0,0,0,0,0,0,38,0,0,0,0,0,0,0
2019-11-24,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-08,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
2019-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
2019-12-22,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-29,0,0,0,0,0,0,0,0,0,0,66,0,0,0,52,0
2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
