Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2019-01-06,0,0,0,0,0,0,0,0,26,13,0,0,0,0,0,0
2019-01-13,20,64,0,0,0,0,0,0,0,26,0,0,0,0,0,0
2019-01-20,0,32,0,0,0,0,0,0,0,13,32,0,50,0,0,0
2019-01-27,20,33,0,0,0,0,0,0,26,39,32,0,0,0,0,0
2019-02-03,20,0,0,0,0,0,0,0,0,53,63,0,51,0,0,52
2019-02-10,0,33,0,0,0,0,0,0,26,20,0,0,0,0,0,0
2019-02-17,21,67,0,0,0,0,0,0,27,34,33,0,0,0,0,0
2019-02-24,21,34,0,0,0,0,0,0,0,21,0,0,0,0,0,0
2019-03-03,21,0,0,51,0,0,0,0,26,27,33,0,0,0,0,0
2019-03-10,62,33,0,0,0,0,35,0,50,20,0,0,0,0,0,0
2019-03-17,0,0,0,0,0,0,73,0,26,42,0,0,0,0,0,0
2019-03-24,0,100,0,0,0,0,0,0,0,28,0,0,0,0,0,0
2019-03-31,0,33,0,0,0,0,71,0,26,14,100,0,54,0,0,0
2019-04-07,0,33,0,0,0,0,0,0,0,21,0,0,52,0,0,0
2019-04-14,0,0,0,0,0,0,0,0,30,0,34,0,0,0,0,0
2019-04-21,0,71,100,0,0,0,0,0,0,14,0,0,56,0,0,0
2019-04-28,21,0,0,53,0,0,0,0,0,28,67,0,0,0,0,0
2019-05-05,20,0,88,0,0,0,0,100,0,13,32,0,0,0,0,0
2019-05-12,0,0,0,0,0,100,0,0,79,28,0,0,0,0,0,0
2019-05-19,20,33,87,0,0,0,0,0,26,27,0,0,0,0,0,0
2019-05-26,0,0,92,54,0,0,37,0,0,28,33,0,0,0,0,0
2019-06-02,0,0,79,0,0,0,0,0,51,14,0,0,0,0,0,0
2019-06-09,0,71,0,0,0,0,0,0,51,41,0,0,0,0,0,0
2019-06-16,22,35,0,0,0,0,0,0,0,28,67,100,0,0,0,0
2019-06-23,0,0,0,0,0,0,0,0,27,21,0,0,0,0,0,0
2019-06-30,0,0,0,0,0,0,0,0,0,14,0,0,51,0,0,0
2019-07-07,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
2019-07-14,0,34,0,0,0,0,0,0,0,36,0,0,0,0,0,0
2019-07-21,0,70,0,0,0,0,0,0,0,31,0,0,0,0,0,0
2019-07-28,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2019-08-04,22,0,92,0,0,0,38,0,0,15,0,0,55,0,0,0
2019-08-11,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
2019-08-18,23,37,0,0,0,0,0,94,26,0,0,0,53,0,0,0
2019-08-25,0,75,0,0,0,0,0,0,0,34,32,0,0,100,0,0
2019-09-01,21,35,0,0,0,0,0,0,49,27,64,0,50,0,0,0
2019-09-08,0,68,0,0,0,0,0,0,50,20,0,0,0,0,0,0
2019-09-15,64,0,87,0,0,0,0,0,51,34,0,0,0,0,0,0
2019-09-22,0,33,0,0,0,0,36,0,25,27,32,0,0,0,0,0
2019-09-29,82,0,0,100,0,0,0,0,26,20,33,0,100,0,0,0
2019-10-06,100,64,0,0,0,0,0,0,26,46,0,0,0,0,0,54
2019-10-13,40,63,0,0,0,0,34,0,100,47,31,0,0,0,0,0
2019-10-20,59,32,0,50,0,0,68,0,49,40,0,0,0,0,0,100
2019-10-27,20,95,0,0,0,0,67,0,25,20,0,0,0,0,0,48
2019-11-03,0,31,73,0,0,0,100,0,0,100,0,0,48,0,0,0
2019-11-10,20,32,0,0,0,0,0,0,72,25,0,0,0,0,92,0
2019-11-17,0,62,0,0,0,0,0,0,0,12,0,0,0,0,0,0
2019-11-24,19,30,0,0,0,0,33,0,0,12,0,0,47,0,0,0
2019-12-01,20,32,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2019-12-08,20,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
2019-12-15,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
2019-12-22,23,37,0,0,0,0,0,0,0,15,0,0,0,0,100,0
2019-12-29,0,0,0,0,0,0,38,0,0,48,0,0,0,0,0,0
2020-01-05,19,31,0,0,0,0,0,0,23,18,0,0,0,0,0,0
2020-01-12,0,0,0,45,0,0,32,0,44,23,0,0,0,0,0,0
2020-01-19,19,30,0,93,0,0,0,0,0,18,0,0,0,0,0,0
2020-01-26,0,30,0,0,0,0,0,0,0,36,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,23,18,0,0,0,0,0,0
2020-02-09,0,29,0,45,0,0,0,0,45,53,0,0,0,0,0,0
2020-02-16,19,92,82,0,0,0,32,0,0,18,0,0,0,88,0,0
2020-02-23,0,59,0,0,0,0,32,0,23,12,0,0,0,0,0,0
2020-03-01,37,0,0,0,0,0,0,0,23,12,28,0,0,0,0,0
2020-03-08,35,0,0,0,0,0,0,0,21,0,26,0,0,0,0,0
2020-03-15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
