Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2019-01-06,4,4,6,2,4,3,4,5,6,4,3,9,5,8,4,7
2019-01-13,4,3,6,8,4,4,4,1,5,4,3,5,4,6,3,4
2019-01-20,4,4,6,8,6,4,4,7,4,4,4,13,4,6,3,8
2019-01-27,4,4,8,8,3,4,4,4,4,5,6,18,4,2,5,3
2019-02-03,5,6,4,4,5,4,5,4,5,4,8,16,3,2,3,4
2019-02-10,5,5,5,7,0,4,5,3,5,5,7,2,7,2,5,6
2019-02-17,7,7,8,3,3,4,4,8,5,6,6,17,3,4,3,3
2019-02-24,5,7,6,5,9,3,6,8,5,5,2,7,5,5,6,5
2019-03-03,4,5,7,3,3,2,4,4,4,4,6,7,5,3,2,10
2019-03-10,5,4,4,4,0,2,6,1,4,4,6,11,4,5,2,8
2019-03-17,4,5,6,4,3,3,4,4,5,5,7,12,6,7,6,9
2019-03-24,4,5,8,3,3,2,5,3,4,4,3,12,3,5,6,7
2019-03-31,3,4,5,5,3,4,5,0,3,3,2,5,7,4,4,5,
2019-04-07,4,4,6,2,3,3,3,3,5,3,3,12,6,2,3,2
2019-04-14,4,5,5,4,0,4,3,6,3,3,2,2,3,4,2,1
2019-04-21,4,4,5,9,0,4,4,3,4,4,4,2,2,4,2,6
2019-04-28,4,4,5,3,0,2,4,4,5,5,4,7,8,2,4,3
2019-05-05,3,4,7,6,3,4,4,4,3,4,2,4,4,2,4,3
2019-05-12,3,4,7,5,0,3,4,4,2,3,5,5,4,1,2,5
2019-05-19,3,4,4,2,6,3,4,4,3,4,7,5,5,2,2,3
2019-05-26,4,4,6,4,3,3,5,4,4,4,4,0,3,2,4,8
2019-06-02,2,4,3,2,6,2,3,1,3,3,5,2,2,7,4,1
2019-06-09,3,4,5,0,3,2,4,1,4,4,5,9,3,4,4,7
2019-06-16,3,3,3,5,3,1,4,3,3,4,5,0,5,3,6,2
2019-06-23,5,4,4,5,3,4,4,1,3,4,3,5,2,3,3,4
2019-06-30,3,4,5,4,4,3,2,5,4,3,3,9,3,3,2,6
2019-07-07,4,5,4,7,0,3,4,5,4,4,3,2,5,3,3,5
2019-07-14,3,3,5,8,3,1,3,6,5,4,3,5,3,1,8,4
2019-07-21,3,4,6,2,2,6,5,0,4,3,4,5,4,4,4,1
2019-07-28,3,4,5,7,2,3,4,2,4,4,4,8,7,4,1,1
2019-08-04,2,3,5,5,3,2,4,9,4,4,5,7,6,4,2,5
2019-08-11,3,3,6,8,2,3,4,5,4,3,6,7,6,7,3,3
2019-08-18,3,4,7,2,0,2,3,4,3,5,4,2,2,4,5,3
2019-08-25,2,4,7,4,2,3,5,9,3,4,4,11,5,4,6,3
2019-09-01,3,3,4,1,3,3,4,1,3,3,2,7,5,3,3,3
2019-09-08,3,4,5,2,6,4,4,1,4,4,4,12,4,4,5,11
2019-09-15,4,3,6,4,5,4,3,2,3,4,1,2,3,1,4,5
2019-09-22,2,5,8,8,1,3,3,4,4,5,6,16,4,2,8,5
2019-09-29,4,4,8,3,5,3,5,4,6,5,7,5,11,7,7,3
2019-10-06,5,6,3,6,12,3,6,2,5,4,8,2,6,6,4,5
2019-10-13,4,4,7,8,1,5,7,10,5,5,7,7,7,2,4,7
2019-10-20,5,5,11,6,7,3,4,8,6,5,5,2,6,3,5,8
2019-10-27,8,8,6,10,3,4,7,9,7,6,9,15,8,5,4,7
2019-11-03,4,3,6,5,4,2,4,4,5,4,4,8,4,5,4,8
