Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2019-01-06,53,53,69,51,60,73,62,55,67,64,62,53,45,55,65,74
2019-01-13,58,58,67,57,66,71,57,44,66,61,64,71,47,56,63,82
2019-01-20,55,51,58,39,64,60,61,50,64,55,68,67,50,47,59,54
2019-01-27,54,52,53,52,52,72,60,56,64,59,64,61,49,55,51,80
2019-02-03,53,50,65,52,59,74,55,47,59,58,59,68,57,52,56,61
2019-02-10,50,50,62,47,54,61,57,31,60,50,62,48,43,58,52,68
2019-02-17,49,47,66,49,58,48,46,44,59,50,55,62,38,40,60,49
2019-02-24,53,47,55,49,41,55,48,30,53,48,56,62,49,45,51,55
2019-03-03,50,54,45,49,48,56,48,49,51,55,64,63,46,58,54,50
2019-03-10,43,47,55,45,55,52,48,41,52,48,54,56,41,47,41,64
2019-03-17,47,48,54,49,44,59,45,37,45,50,51,39,41,43,42,48
2019-03-24,44,42,57,32,53,48,45,37,51,50,45,45,41,56,46,44
2019-03-31,43,45,50,40,55,54,42,29,50,44,44,46,34,38,43,53
2019-04-07,53,48,46,51,44,51,50,27,60,50,60,85,45,44,64,67
2019-04-14,50,49,54,46,54,58,49,41,58,50,59,60,40,37,54,52
2019-04-21,50,50,61,35,46,45,47,37,55,56,60,56,47,46,44,48
2019-04-28,46,53,48,44,49,57,48,36,53,52,53,36,45,49,45,50
2019-05-05,40,47,50,40,39,55,43,41,45,47,48,38,44,42,54,53
2019-05-12,39,43,53,35,42,47,44,26,46,41,50,39,47,52,48,30
2019-05-19,38,37,53,37,51,48,45,29,41,43,51,39,36,40,48,47
2019-05-26,50,45,51,38,40,51,49,48,51,53,52,52,41,41,47,43
2019-06-02,38,42,43,30,37,51,36,39,40,42,37,44,29,36,32,42
2019-06-09,42,51,50,32,38,53,49,41,50,50,56,68,30,42,41,50
2019-06-16,47,49,55,46,43,42,45,34,40,46,67,32,43,31,40,32
2019-06-23,35,39,49,45,30,40,41,38,42,39,36,41,35,36,46,39
2019-06-30,37,35,62,43,43,45,46,33,50,44,49,54,37,32,55,45
2019-07-07,47,43,49,43,49,58,47,36,57,51,51,48,47,47,56,51
2019-07-14,42,48,55,50,76,50,48,42,57,59,63,67,45,46,53,49
2019-07-21,48,45,49,48,43,54,49,33,58,50,61,48,54,47,54,52
2019-07-28,48,46,56,32,50,37,45,47,45,47,49,43,33,51,50,49
2019-08-04,45,42,41,39,35,46,45,36,55,47,54,41,41,48,54,38
2019-08-11,47,44,54,40,39,47,41,38,44,45,44,60,33,43,38,42
2019-08-18,45,47,50,34,40,53,42,38,43,44,55,49,39,31,46,53
2019-08-25,40,51,46,45,45,39,42,25,36,39,42,50,34,38,35,48
