Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2019-01-06,2,2,3,0,6,5,3,6,1,3,2,0,3,5,4,3,
2019-01-13,2,2,4,1,0,2,2,0,2,2,3,0,3,0,4,6,
2019-01-20,4,2,1,2,0,2,2,6,1,3,1,0,0,3,1,3,
2019-01-27,4,2,4,1,0,0,3,0,2,3,5,2,0,5,4,1,
2019-02-03,4,1,2,3,6,3,4,0,4,3,3,2,2,0,1,0,
2019-02-10,2,2,1,0,0,2,4,0,1,3,2,2,2,12,1,0,
2019-02-17,2,2,3,0,0,2,1,6,2,3,2,3,1,3,0,2,
2019-02-24,2,2,1,1,0,2,3,6,2,3,1,0,2,3,0,2,
2019-03-03,4,3,4,2,0,5,5,6,2,4,3,0,4,3,1,2,
2019-03-10,2,2,3,1,0,3,3,0,3,4,3,0,1,5,1,0,
2019-03-17,3,3,3,3,0,2,3,6,2,3,3,0,5,3,1,5,
2019-03-24,4,2,2,3,0,3,2,6,1,5,2,2,1,0,1,0,
2019-03-31,4,3,6,1,0,0,4,0,4,2,5,2,3,6,1,2,
2019-04-07,3,2,3,1,0,7,3,6,5,2,4,2,5,9,1,0,
2019-04-14,2,2,0,3,0,4,4,0,3,2,2,2,1,6,1,4,
2019-04-21,4,3,2,4,7,0,3,0,3,4,3,3,6,3,3,3,
2019-04-28,6,4,6,3,6,2,6,0,2,4,4,3,8,3,5,2,
2019-05-05,6,3,3,4,6,2,9,11,3,4,2,0,6,0,1,2,
2019-05-12,3,4,6,1,12,2,5,6,2,4,5,2,21,6,0,5,
2019-05-19,3,2,3,0,18,2,1,0,5,5,4,0,7,6,9,3,
2019-05-26,3,3,3,0,6,4,4,0,2,3,4,0,5,3,5,3,
2019-06-02,1,2,8,4,6,2,5,0,1,3,2,0,4,9,1,2,
2019-06-09,3,4,7,4,6,2,6,5,4,4,5,3,6,6,4,5,
2019-06-16,3,3,4,4,0,0,3,0,6,5,4,2,1,3,8,5,
2019-06-23,5,4,3,4,0,6,5,0,4,4,7,5,8,6,3,0,
2019-06-30,5,6,5,3,12,6,6,11,8,6,3,2,3,9,5,2,
2019-07-07,6,7,6,1,6,10,7,0,8,9,9,5,5,6,9,5,
2019-07-14,5,7,7,8,20,4,8,10,10,12,6,3,5,6,4,8,
2019-07-21,8,5,10,10,0,7,10,16,8,10,9,7,6,19,1,9,
2019-07-28,9,7,12,4,7,12,14,10,11,11,11,6,10,12,6,2,
2019-08-04,12,10,14,15,7,15,11,5,14,17,14,10,14,37,10,3,
2019-08-11,16,11,16,26,12,15,21,15,24,17,21,18,16,20,18,8,
2019-08-18,18,16,21,16,19,19,20,27,22,26,25,13,17,29,29,8,
2019-08-25,24,19,24,20,12,21,23,47,28,24,29,16,22,25,24,16,
2019-09-01,28,25,33,33,22,36,39,57,38,38,36,29,30,50,35,39,
2019-09-08,44,34,49,43,24,60,59,72,58,51,49,32,53,66,61,22,
2019-09-15,86,82,78,56,36,65,100,100,88,87,69,53,77,100,81,65,
2019-09-22,100,100,100,74,100,100,96,98,100,100,97,77,83,100,100,100,
2019-09-29,97,96,95,100,36,64,97,63,93,96,100,100,100,79,74,85,
2019-10-06,37,27,64,38,24,29,55,52,49,58,58,42,54,47,24,46,
2019-10-13,28,7,27,22,12,12,31,49,32,33,52,29,34,21,20,11,
2019-10-20,12,4,18,17,11,5,23,30,24,19,38,22,18,13,14,13,
2019-10-27,9,4,11,8,17,5,8,15,13,9,14,8,19,8,8,0,
2019-11-03,5,2,3,1,0,2,4,0,4,4,5,0,4,10,2,4,
2019-11-10,2,2,3,1,6,4,2,5,2,4,5,0,4,8,2,3,
2019-11-17,2,2,2,1,5,0,3,10,2,1,3,0,2,5,1,0,
2019-11-24,2,1,0,1,0,2,3,10,2,1,4,0,2,0,1,0,
2019-12-01,1,2,2,0,11,0,1,0,2,1,3,2,2,3,1,3,
2019-12-08,1,2,2,2,0,2,0,5,2,2,1,0,2,0,0,0,
2019-12-15,1,1,4,1,0,0,2,0,3,2,1,2,0,3,0,0,
2019-12-22,2,2,1,1,0,3,1,6,3,2,1,0,3,0,1,0,
2019-12-29,2,2,5,1,0,4,5,5,3,5,3,3,1,3,4,3,
2020-01-05,3,2,5,1,5,2,3,10,2,3,1,0,2,7,2,4,
2020-01-12,2,2,3,4,0,2,2,5,2,3,4,0,3,0,2,1,
2020-01-19,3,3,3,2,0,3,3,0,4,2,4,3,2,2,2,1,
2020-01-26,2,3,1,3,0,0,4,0,3,1,2,1,2,5,2,0,
2020-02-02,2,2,3,2,0,0,1,5,2,2,4,3,2,2,2,1,
2020-02-09,1,2,1,4,0,0,4,0,2,3,2,0,5,0,0,1,
2020-02-16,2,2,0,3,0,1,2,0,2,3,3,2,4,5,4,0,
2020-02-23,3,1,2,0,0,4,2,0,3,4,1,1,4,2,0,0,
2020-03-01,2,1,2,0,11,0,1,5,3,2,1,0,1,2,0,1,
2020-03-08,2,2,1,0,0,0,3,4,2,4,1,0,1,0,1,1,
2020-03-15,1,2,2,1,0,0,0,0,0,1,1,3,1,0,0,0,
2020-03-22,1,3,2,1,0,0,2,4,0,1,4,0,1,0,0,0,
2020-03-29,2,5,2,1,0,4,0,4,2,2,3,0,1,0,3,2,
2020-04-05,5,5,4,2,0,5,3,0,2,3,3,0,2,2,1,1,
2020-04-12,5,7,1,0,5,4,5,5,3,4,3,5,3,0,5,1,
2020-04-19,14,18,15,9,16,9,15,0,11,12,12,4,12,7,12,6,
2020-04-26,1,2,1,0,5,0,4,4,1,1,3,2,3,2,2,2,
