Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2019-01-06,1,2,4,11,0,9,5,19,2,1,5,0,6,15,9,0,
2019-01-13,1,6,13,22,28,14,6,19,9,7,5,0,14,45,19,9,
2019-01-20,1,6,11,11,0,0,4,19,5,3,5,0,16,0,28,9,
2019-01-27,1,2,3,11,28,19,3,0,2,3,5,0,0,0,0,0,
2019-02-03,1,5,6,0,0,10,4,20,3,2,0,0,22,15,9,0,
2019-02-10,1,2,8,0,0,0,5,0,3,3,5,16,6,0,0,0,
2019-02-17,2,8,6,0,28,10,6,0,4,3,15,0,18,0,0,14,
2019-02-24,1,6,0,11,0,10,7,0,0,2,8,17,0,0,10,0,
2019-03-03,1,4,3,11,0,10,6,19,2,4,10,0,0,31,0,9,
2019-03-10,2,8,16,11,0,20,8,0,4,4,14,16,6,15,18,14,
2019-03-17,1,4,4,12,0,10,5,0,3,2,5,0,0,16,0,10,
2019-03-24,0,2,4,11,0,0,2,20,4,2,5,0,6,16,10,9,
2019-03-31,1,4,4,0,0,10,6,0,3,3,8,0,6,16,10,10,
2019-04-07,1,2,9,0,0,0,4,0,7,1,0,0,11,0,10,10,
2019-04-14,1,2,4,12,0,0,2,0,5,1,5,0,0,0,0,10,
2019-04-21,0,3,7,0,0,32,2,20,0,2,5,0,6,0,0,0,
2019-04-28,0,1,3,11,0,0,4,0,3,2,5,0,5,16,9,18,
2019-05-05,1,2,4,11,0,10,3,0,0,2,5,0,6,0,19,0,
2019-05-12,0,2,12,0,0,0,4,20,0,1,5,0,6,0,10,0,
2019-05-19,1,2,8,22,0,0,2,0,7,2,0,0,17,0,0,0,
2019-05-26,1,4,4,11,0,0,4,0,3,2,7,0,0,0,14,0,
2019-06-02,0,2,3,11,0,10,5,0,4,4,5,0,6,0,14,0,
2019-06-09,0,4,4,0,29,11,4,0,3,3,0,16,0,0,0,9,
2019-06-16,0,4,4,0,0,0,3,0,2,2,0,0,0,16,0,9,
2019-06-23,1,1,4,0,0,11,2,0,3,1,5,34,0,0,0,0,
2019-06-30,1,4,8,0,0,0,4,18,0,1,0,0,0,31,0,0,
2019-07-07,1,1,4,0,0,11,6,0,2,1,0,0,0,0,9,0,
2019-07-14,1,4,4,12,0,12,7,0,4,2,11,0,9,0,0,10,
2019-07-21,1,6,9,12,0,0,5,0,5,5,5,18,13,0,0,10,
2019-07-28,1,6,25,0,0,0,5,18,9,4,16,18,12,0,9,0,
2019-08-04,1,1,12,0,0,11,6,0,7,3,5,0,0,0,18,0,
2019-08-11,0,2,8,0,0,11,2,0,3,1,5,0,12,0,8,0,
2019-08-18,1,5,12,11,0,11,5,0,5,3,5,0,17,0,22,19,
2019-08-25,0,3,7,11,0,11,2,0,11,3,0,0,6,0,9,9,
2019-09-01,1,4,7,11,26,10,4,0,7,2,10,0,11,0,0,0,
2019-09-08,1,7,6,0,0,21,4,0,3,1,7,0,0,0,18,0,
2019-09-15,1,2,8,0,0,11,6,0,2,3,0,0,11,16,9,0,
2019-09-22,1,2,8,0,28,10,7,0,2,2,0,16,0,15,0,0,
2019-09-29,1,1,14,0,0,10,5,0,4,4,0,32,5,0,0,0,
2019-10-06,1,3,0,0,0,11,4,0,5,1,5,16,6,0,9,0,
2019-10-13,1,5,6,11,0,10,3,0,6,5,5,0,11,0,18,0,
2019-10-20,1,1,4,0,0,13,5,0,6,4,5,15,6,0,8,0,
2019-10-27,0,2,7,10,0,0,5,17,4,4,0,0,5,14,9,0,
2019-11-03,1,2,3,0,0,10,3,17,3,2,5,0,5,0,8,8,
2019-11-10,1,7,11,0,0,0,5,0,4,5,7,0,5,0,13,8,
2019-11-17,1,6,7,10,0,14,7,17,6,5,7,15,13,14,21,8,
2019-11-24,1,11,11,10,25,29,8,18,8,8,13,14,8,28,17,13,
2019-12-01,1,4,12,10,0,10,7,0,15,6,5,15,0,14,9,9,
2019-12-08,1,2,9,0,27,11,3,18,3,2,0,0,0,0,0,0,
2019-12-15,1,2,12,21,27,0,3,0,7,2,5,0,10,14,9,9,
2019-12-22,1,2,7,0,0,0,4,0,3,1,0,0,6,0,9,0,
2019-12-29,1,2,4,0,0,12,6,0,4,1,9,0,14,0,0,0,
2020-01-05,2,7,12,10,50,9,8,16,16,7,22,0,10,0,24,16,
2020-01-12,2,3,14,9,0,0,6,0,3,3,11,14,5,0,8,8,
2020-01-19,1,3,4,10,0,0,4,0,2,1,4,0,0,13,17,0,
2020-01-26,1,4,9,15,26,0,4,0,2,1,0,0,5,13,17,0,
2020-02-02,1,3,15,20,0,0,4,0,4,6,9,0,10,0,21,16,
2020-02-09,3,15,18,9,0,9,20,17,14,14,25,0,10,14,16,33,
2020-02-16,2,14,20,19,26,25,9,17,18,9,16,15,13,14,24,12,
2020-02-23,2,7,15,14,25,8,6,0,7,8,13,14,10,20,24,15,
2020-03-01,1,3,8,9,0,9,3,0,6,6,4,0,5,13,0,0,
2020-03-08,16,21,23,9,0,16,21,16,18,25,25,0,21,37,38,22,
2020-03-15,76,96,98,85,59,84,100,100,83,91,88,25,97,72,100,78,
2020-03-22,25,45,54,49,35,38,51,46,48,48,80,30,58,41,72,45,
2020-03-29,41,43,49,36,24,51,49,51,40,37,55,24,28,52,46,48,
2020-04-05,28,34,37,32,39,39,30,34,32,36,34,33,42,20,43,24,
2020-04-12,100,100,100,100,62,100,94,95,100,100,100,64,100,100,98,100,
2020-04-19,23,49,60,29,49,38,48,32,32,38,36,51,50,12,44,50,
2020-04-26,29,48,44,33,83,59,46,31,40,46,53,24,45,36,53,39,
2020-05-03,44,58,53,59,56,77,65,31,50,55,54,37,64,67,59,43,
2020-05-10,9,18,22,26,44,15,19,62,17,14,11,0,18,12,58,7,
2020-05-17,9,18,23,36,100,21,20,25,19,19,24,13,22,40,11,8,
2020-05-24,12,26,29,26,25,25,18,30,20,20,6,26,23,26,18,19,
2020-05-31,7,17,16,13,24,17,16,14,25,12,9,25,14,12,32,18,
2020-06-07,5,5,13,0,0,0,7,14,7,3,6,13,9,0,14,0,
2020-06-14,14,13,24,35,24,24,15,29,16,9,19,0,23,0,29,15,
2020-06-21,4,13,5,14,0,17,7,46,9,13,4,27,10,27,19,8,
2020-06-28,5,17,8,9,24,13,16,14,18,16,10,33,7,25,18,23,
