Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen,
2019-01-06,7,8,5,0,4,4,8,29,6,9,5,10,9,8,12,8,
2019-01-13,6,9,6,7,15,6,6,13,10,10,11,0,6,25,3,12,
2019-01-20,7,9,6,4,0,4,7,4,11,10,13,5,9,4,16,4,
2019-01-27,7,10,10,11,8,8,9,4,9,8,10,5,5,17,7,0,
2019-02-03,9,9,7,5,0,8,11,9,8,10,8,10,5,4,6,0,
2019-02-10,7,10,7,16,8,3,7,5,11,16,13,10,17,5,5,9,
2019-02-17,7,6,9,7,16,8,8,9,11,17,8,11,5,4,8,17,
2019-02-24,7,7,9,7,4,8,8,0,11,17,6,11,13,4,16,25,
2019-03-03,7,9,6,9,0,9,9,0,8,12,16,0,15,17,7,13,
2019-03-10,6,6,7,4,11,5,9,4,11,9,9,5,14,8,7,4,
2019-03-17,7,8,6,11,16,8,10,0,12,17,8,5,12,13,3,4,
2019-03-24,9,9,8,9,4,8,8,9,12,20,7,16,6,4,9,9,
2019-03-31,8,7,8,7,8,7,5,0,11,16,6,5,9,0,10,9,
2019-04-07,5,8,9,0,0,3,9,4,7,13,8,0,16,4,6,9,
2019-04-14,8,8,11,5,14,4,13,0,14,20,14,11,11,9,6,0,
2019-04-21,8,10,6,19,8,10,12,0,11,17,14,5,7,5,6,5,
2019-04-28,8,10,7,5,16,5,12,0,7,14,14,5,10,27,16,4,
2019-05-05,6,6,7,4,8,5,9,9,9,11,11,10,9,9,9,8,
2019-05-12,11,8,8,5,24,2,7,0,8,11,8,10,8,4,6,13,
2019-05-19,6,9,7,11,16,8,9,4,11,11,6,5,5,18,7,4,
2019-05-26,7,8,5,7,0,6,9,17,8,16,7,11,16,13,3,4,
2019-06-02,8,7,8,5,8,7,7,4,11,13,11,15,9,13,6,9,
2019-06-09,6,9,9,7,20,7,11,8,12,15,10,10,10,0,10,4,
2019-06-16,8,10,8,7,12,6,7,4,10,20,8,21,6,13,9,9,
2019-06-23,8,7,9,2,4,4,6,13,11,13,5,0,10,5,10,22,
2019-06-30,8,10,9,16,8,5,7,0,9,15,7,0,14,22,10,0,
2019-07-07,8,10,7,7,4,5,4,0,16,14,10,5,6,9,7,13,
2019-07-14,9,8,10,7,8,6,8,0,8,17,10,16,12,5,3,18,
2019-07-21,8,7,7,2,0,0,7,4,9,13,12,17,13,5,6,0,
2019-07-28,6,12,6,16,4,8,8,8,7,16,8,11,9,9,7,0,
2019-08-04,8,14,8,9,17,2,10,0,11,16,16,5,8,14,1,14,
2019-08-11,9,10,8,7,19,7,16,4,13,14,9,10,9,22,13,13,
2019-08-18,10,11,9,7,8,3,14,8,12,16,17,10,17,22,10,4,
2019-08-25,11,15,8,6,12,9,12,16,11,20,18,0,15,13,11,17,
2019-09-01,9,10,10,17,18,7,12,8,14,15,19,10,15,4,5,4,
2019-09-08,8,12,12,9,4,7,10,4,17,16,11,20,5,18,15,17,
2019-09-15,10,11,13,15,16,9,9,4,15,16,12,0,10,13,14,13,
